chrom	merged_gene1k.start	merged_gene1k.end	name2
chr1	66876412	66910883	Acadl
chr1	66969869	66992630	Myl1
chr1	67046090	67086446	Lancl1
chr1	67168600	67278841	Cps1
chr1	68077760	69155633	Erbb4
chr1	69576783	69733534	Ikzf2
chr1	69872543	70772706	Spag16
chr1	70771288	70932971	Vwc2l
chr1	71073108	71150546	Bard1
chr1	71288663	71462484	Abca12
chr1	71602729	71626977	Atic
chr1	71631046	71700808	Fn1
chr1	71698908	71710417	Apol7d
chr1	71933685	71938778	Gm8883
chr1	72004571	72052769	4933417E11Rik
chr1	72204806	72259881	Mreg
chr1	72304746	72331888	Pecr
chr1	72329946	72350569	Tmem169
chr1	72352994	72442527	Xrcc5
chr1	72472685	72584138	March4
chr1	72628824	72684364	Smarcal1
chr1	72688553	72748138	Ankar
chr1	72756833	72761387	Rpl37a
chr1	72870053	72900045	Igfbp2
chr1	72903638	72922439	Igfbp5
chr1	73060648	73063473	Tnp1
chr1	73061609	73073082	1700027A15Rik
chr1	73436958	73455143	Pinc
chr1	73444541	73478353	D530049I02Rik
chr1	73663954	73912040	6030407O03Rik
chr1	73901050	73903149	Mir6351
chr1	73955804	74172023	Tns1
chr1	74171114	74195804	Rufy4
chr1	74199567	74208820	Cxcr2
chr1	74237359	74242205	Cxcr1
chr1	74252127	74254194	Mir1928
chr1	74282123	74315787	Arpc2
chr1	74324173	74327163	Gpbar1
chr1	74325413	74332312	Aamp
chr1	74330607	74401266	Pnkd
chr1	74333820	74351910	Tmbim1
chr1	74407681	74416895	Catip
chr1	74420776	74433625	Slc11a1
chr1	74437182	74444859	Ctdsp1
chr1	74439883	74441968	Mir26b
chr1	74454957	74483134	Vil1
chr1	74481083	74591860	Usp37
chr1	74551633	74578416	Rqcd1
chr1	74588462	74613551	Plcd4
chr1	74611999	74635602	Zfp142
chr1	74633862	74640017	Bcs1l
chr1	74639321	74648971	Rnf25
chr1	74647028	74684467	Stk36
chr1	74707327	74745547	Ttll4
chr1	74759108	74785471	Cyp27a1
chr1	74784495	74796529	Prkag3
chr1	74817465	74832893	Wnt6
chr1	74837592	74851749	Wnt10a
chr1	74900602	74905306	Cdk5r2
chr1	74927082	74932982	Fev
chr1	74935507	74940717	Cryba2
chr1	74946231	74948295	Mir375
chr1	74947653	74983173	Ccdc108
chr1	74990888	74999246	Ihh
chr1	75012919	75122800	Nhej1
chr1	75121115	75131464	Slc23a3
chr1	75130788	75139942	Cnppd1
chr1	75138359	75145483	Fam134a
chr1	75164219	75169200	Zfand2b
chr1	75167214	75177966	Abcb6
chr1	75176434	75189584	Atg9a
chr1	75187733	75196960	Ankzf1
chr1	75193809	75208353	Glb1l
chr1	75206403	75213181	Stk16
chr1	75210546	75216869	Tuba4a
chr1	75215669	75229668	A630095N17Rik
chr1	75231997	75243267	Dnajb2
chr1	75242615	75261783	Ptprn
chr1	75267776	75275955	Resp18
chr1	75304139	75315212	Dnpep
chr1	75355866	75366154	Des
chr1	75363784	75372590	Gm15179
chr1	75370871	75429881	Speg
chr1	75431517	75440751	Gmppa
chr1	75446084	75471915	Asic4
chr1	75470143	75477046	Chpf
chr1	75475106	75483268	Tmem198
chr1	75481399	75504027	Obsl1
chr1	75502651	75507929	Inha
chr1	75517103	75534910	Stk11ip
chr1	75541840	75557006	Slc4a3
chr1	76484707	76499603	Gm17751
chr1	76505134	76507218	Mir6343
chr1	77362759	77512663	Epha4
chr1	77492227	77494343	Mir6352
chr1	78096841	78194711	Pax3
chr1	78305920	78417861	Sgpp2
chr1	78413532	78486472	Farsb
chr1	78506634	78535748	Mogat1
chr1	78653399	78665176	Utp14b
chr1	78653399	78705318	Acsl3
chr1	78812523	78817600	Kcne4
chr1	79430243	79437665	Scg2
chr1	79602450	79669547	Ap1s3
chr1	79697836	79759344	Wdfy1
chr1	79771592	79779020	Mrpl44
chr1	79789895	79856240	Serpine2
chr1	80194273	80211519	Fam124b
chr1	80260497	80338265	Cul3
chr1	80441506	80473235	1700016L21Rik
chr1	80496642	80756128	Dock10
chr1	81072891	81269226	Nyap2
chr1	82127490	82129594	Mir6344
chr1	82228679	82289014	Irs1
chr1	82312153	82442941	Rhbdd1
chr1	82446297	82584424	Col4a4
chr1	82582495	82719634	Col4a3
chr1	82720464	82749964	Mff
chr1	82752223	82766031	Tm4sf20
chr1	82835034	82898576	Agfg1
chr1	83008097	83036023	Slc19a3
chr1	83056504	83059496	Krtap28-13
chr1	83112340	83116742	Ccl20
chr1	83155336	83208147	Daw1
chr1	83251355	83405775	Sphkap
chr1	84031867	84282220	Pid1
chr1	84214423	84216536	Mir6353
chr1	84365413	84693796	Dner
chr1	84691413	84693490	Mir5126
chr1	84716763	84836879	Trip12
chr1	84835415	84898061	Fbxo36
chr1	84902279	84932658	Slc16a14
chr1	85083713	85107428	A530032D15Rik
chr1	85195185	85211337	Gm7609
chr1	85241918	85268141	C130026I21Rik
chr1	87472474	87501466	Sp110
chr1	87496277	87542611	Sp140
chr1	87545562	87607572	Sp100
chr1	87612657	87634181	A630001G21Rik
chr1	87647522	87649649	Mir8096
chr1	87670845	87682269	9930111H07Rik
chr1	87689021	87749152	Cab39
chr1	87790084	87806273	Itm2c
chr1	87824057	87829331	4933407L21Rik
chr1	87835111	87858630	Gpr55
chr1	87917516	87927533	Spata3
chr1	87941437	87953031	2810459M11Rik
chr1	87960193	88036870	Psmd1
chr1	87994611	88009545	Htr2b
chr1	88050354	88175859	Armc9
chr1	88198795	88204880	B3gnt7
chr1	88240293	88257030	Ncl
chr1	88246744	88248860	Snora75
chr1	88247555	88249702	Gm24148
chr1	88251834	88253902	Snord82
chr1	88255148	88265539	C130036L24Rik
chr1	88281899	88285716	Nmur1
chr1	88321903	88325624	1700019O17Rik
chr1	88422310	88428273	Ptma
chr1	88438589	88480076	Pde6d
chr1	88482674	88504075	Cops7b
chr1	88561867	88568148	Nppc
chr1	88599378	88947672	Dis3l2
chr1	88982265	88987503	Alppl2
chr1	88993576	88999181	Alpi
chr1	89020582	89025487	Akp3
chr1	89043229	89053931	Ecel1
chr1	89078888	89085980	Prss56
chr1	89086171	89097645	Chrnd
chr1	89101385	89109410	Chrng
chr1	89109488	89138063	Eif4e2
chr1	89159938	89208366	Efhd1
chr1	89222572	89348385	Gigyf2
chr1	89280151	89292304	Kcnj13
chr1	89365838	89373034	3110079O15Rik
chr1	89372403	89471445	Ngef
chr1	89469601	89495415	Neu2
chr1	89515886	89618085	Inpp5d
chr1	89651585	89690003	Atg16l1
chr1	89680145	89682393	Scarna6
chr1	89699254	89742732	Sag
chr1	89748861	89842064	Dgkd
chr1	89840695	89906126	Usp40
chr1	89950985	90117577	Ugt1a10
chr1	89966353	90117577	Ugt1a9
chr1	89990575	90117577	Ugt1a7c
chr1	89998831	90116573	Ugt1a6b
chr1	90030383	90117577	Ugt1a6a
chr1	90061586	90117577	Ugt1a5
chr1	90096185	90117577	Ugt1a2
chr1	90100306	90103323	Dnajb3
chr1	90107533	90117577	Ugt1a1
chr1	90122594	90159864	Mroh2a
chr1	90154430	90175154	Hjurp
chr1	90158687	90166983	6430706D22Rik
chr1	90160402	90175132	A730008H23Rik
chr1	90202286	90286426	Trpm8
chr1	90302584	90324013	Spp2
chr1	90395445	90407641	Glrp1
chr1	90447091	90459741	Gm19589
chr1	90593800	90599766	Arl4c
chr1	90650464	90653308	Platr5
chr1	90911687	90919785	1700067G17Rik
chr1	90966036	91051368	Sh3bp4
chr1	91255916	91303708	C030007H22Rik
chr1	91350385	91792857	Agap1
chr1	91572081	91581467	4933400F21Rik
chr1	91823536	91828751	Gbx2
chr1	91848252	91912152	Asb18
chr1	91937706	92050976	Iqca
chr1	92099554	92113297	Ackr3
chr1	92498999	92510916	Cops8
chr1	92662434	92741548	Col6a3
chr1	92810676	92848719	Mlph
chr1	92848684	92851589	Prlh
chr1	92853709	92867197	Rab17
chr1	92894303	93026521	Lrrfip1
chr1	93040679	93068372	Rbm44
chr1	93075398	93122773	Ramp1
chr1	93145895	93183602	Ube2f
chr1	93193914	93218657	Scly
chr1	93217651	93245880	Espnl
chr1	93246649	93259981	Klhl30
chr1	93262006	93271794	Fam132b
chr1	93271407	93296360	Ilkap
chr1	93300456	93303606	1700020N18Rik
chr1	93307059	93310799	Hes6
chr1	93311558	93356905	Per2
chr1	93390244	93426884	Traf3ip1
chr1	93436141	93457167	Asb1
chr1	93697037	93745611	Twist2
chr1	93824355	94077918	Hdac4
chr1	94335295	94371335	Ndufa10
chr1	94360059	94362119	Mir6900
chr1	94375257	94378196	Olfr1416
chr1	94386394	94389330	Olfr1415
chr1	94406624	94416092	Olfr1414
chr1	94468701	94471783	Olfr1413
chr1	94483908	94486874	Olfr1412
chr1	94492097	94495069	Olfr1411
chr1	94503415	94506384	Olfr1410
chr1	94515457	94518578	Olfr12
chr1	94532721	94539562	Myeov2
chr1	94539794	94546418	Otos
chr1	94727262	94757773	Gpc1
chr1	94745954	94748020	Mir149
chr1	94765705	94800483	Ankmy1
chr1	94802565	94806197	Dusp28
chr1	94806401	94818162	Rnpepl1
chr1	94829119	94848167	9430060I03Rik
chr1	94829984	94845525	Capn10
chr1	94868695	94883968	Gpr35
chr1	94901910	94909846	Aqp12
chr1	94911031	94999451	Kif1a
chr1	95030816	95042998	Agxt
chr1	95046931	95058525	2310007B03Rik
chr1	95063999	95128643	Crocc2
chr1	95131473	95194025	Sned1
chr1	95170125	95172187	Mir6901
chr1	95196781	95203456	Mterf4
chr1	95205013	95240365	Pask
chr1	95239221	95265195	Ppp1r7
chr1	95241668	95243732	Mir6902
chr1	95247734	95249862	Mir6345
chr1	95269472	95301881	Ano7
chr1	95301516	95376494	Hdlbp
chr1	95374569	95407309	Sept2
chr1	95407680	95519553	Farp2
chr1	95516327	95533304	Stk25
chr1	95581151	95593347	Bok
chr1	95600967	95652415	Thap4
chr1	95650609	95687106	Atg4b
chr1	95688152	95699511	Dtymk
chr1	95699541	95719677	Ing5
chr1	95720816	95749938	D2hgdh
chr1	95756920	95774071	Gal3st2
chr1	95814013	95838816	Gm9994
chr1	95886085	95909116	Gm6086
chr1	95916069	95925907	Neu4
chr1	95933881	95950130	Pdcd1
chr1	96693018	96700049	4930440C22Rik
chr1	97209204	97232861	Fam174a
chr1	97483258	97565171	St8sia4
chr1	97596760	97614095	4930598F16Rik
chr1	97886235	97919335	1700063A18Rik
chr1	98507633	98560150	4930533P14Rik
chr1	98714360	98769748	Slco4c1
chr1	98766702	98778811	Panct2
chr1	98801752	98895137	Slco6b1
chr1	98955025	99025880	Slco6c1
chr1	99539478	99559595	D1Ertd622e
chr1	99601619	99667669	Ppip5k2
chr1	99665748	99691285	Gin1
chr1	99716670	99993209	Pam
chr1	99926699	99945370	B230216N24Rik
chr1	100027043	100042232	1810006J02Rik
chr1	100316700	100406957	Slco6d1
chr1	101668341	102383519	Cntnap5b
chr1	103051344	103072779	Gm20268
chr1	106664395	106893058	Cdh20
chr1	107172493	107254287	Rnf152
chr1	107413998	107561253	Pign
chr1	107559437	107652708	2310035C23Rik
chr1	107676299	107745558	Tnfrsf11a
chr1	107885982	107931654	Zcchc2
chr1	108048201	108069101	Gm20753
chr1	108067445	108291822	Phlpp1
chr1	108433752	108611867	Bcl2
chr1	108442072	108444208	Mir3473f
chr1	108615986	108657319	Kdsr
chr1	108666364	108694302	Vps4b
chr1	108756756	108780925	Serpinb5
chr1	108830025	108854657	Serpinb12
chr1	108876560	108898772	Serpinb13
chr1	108941163	108949880	Serpinb3a
chr1	108973769	108981057	Serpinb3d
chr1	109049537	109058691	Serpinb3b
chr1	109166777	109175948	Serpinb3c
chr1	109257890	109278052	Serpinb11
chr1	109318265	109350266	Serpinb7
chr1	109406999	109423177	Serpinb2
chr1	109424579	109446848	Serpinb10
chr1	109485582	109506555	Serpinb8
chr1	109812835	109848524	D830032E09Rik
chr1	111878476	112037480	Cdh7
chr1	112784771	112874949	Cdh19
chr1	113754278	113762495	Dsel
chr1	117580713	118478251	Cntnap5a
chr1	120194094	120208709	Tsn
chr1	120217419	120231408	Nifk
chr1	120284634	120507039	Clasp1
chr1	120354245	120356842	2900060B14Rik
chr1	120523521	120582745	Tfcp2l1
chr1	120729637	120951196	Gli2
chr1	120849796	120851876	Mir6346
chr1	121311041	121319825	Inhbb
chr1	121365881	121402359	Ralb
chr1	121421730	121426560	Tmem185b
chr1	121425056	121433742	3830432H09Rik
chr1	121440609	121546577	Epb41l5
chr1	121553669	121734648	Ptpn4
chr1	121803477	121810745	Tmem177
chr1	121819095	121892787	Cfap221
chr1	121902556	121961109	Sctr
chr1	121962953	121971357	Tmem37
chr1	122008856	122018673	Dbi
chr1	122016763	122085766	3110009E18Rik
chr1	122121992	122168659	Steap3
chr1	122236158	122240751	C1ql2
chr1	122370114	122402661	Marco
chr1	122498063	122505568	En1
chr1	122982981	123018552	Celrr
chr1	123199929	123230166	Insig2
chr1	123326643	123404037	Ccdc93
chr1	123405349	123426042	Htr5b
chr1	123449411	123465557	Ddx18
chr1	125227714	125943136	Dpp10
chr1	127288481	127333304	Actr3
chr1	127456592	127493261	Slc35f5
chr1	127572572	127771438	Gpr39
chr1	127763198	127810505	Lypd1
chr1	127809212	128728209	Nckap5
chr1	129100562	129380549	Mgat5
chr1	129385918	129575598	Tmem163
chr1	129624989	129665141	Acmsd
chr1	129649193	129671631	2900009J06Rik
chr1	129669740	129702414	Ccnt2
chr1	129710847	129737867	Map3k19
chr1	129764349	129841453	Rab3gap1
chr1	129849755	130000624	Zranb3
chr1	129998882	130135312	R3hdm1
chr1	130097937	130100007	Mir128-1
chr1	130139757	130176954	Ubxn4
chr1	130180332	130225895	Lct
chr1	130227151	130257282	Mcm6
chr1	130259283	130314993	Dars
chr1	130483775	130489876	Cxcr4
chr1	131168880	132116855	Thsd7b
chr1	132284104	132320620	Cd55b
chr1	132334602	132360321	Cd55
chr1	132472282	132527183	Zp3r
chr1	132531497	132559195	C4bp
chr1	132565778	132579148	C4bp-ps1
chr1	132584619	132626830	Pfkfb2
chr1	132612903	132619634	Yod1
chr1	132627552	132642199	AA986860
chr1	132696478	132712317	Fcamr
chr1	132722260	132749826	Pigr
chr1	132761353	132778367	Fcmr
chr1	132777650	132784988	Il24
chr1	132802561	132808873	Il20
chr1	132828232	132836818	Il19
chr1	132915421	132922547	Il10
chr1	132949277	132995420	Mapkapk2
chr1	133024017	133035811	Dyrk3
chr1	133048783	133071048	Eif2d
chr1	133071986	133142755	Rassf5
chr1	133150178	133177140	Ikbke
