name2	chrom	tss_samples	tss1k_samples	gene1k_samples
Rab8a	chr8	193	193	193
Large	chr8	189	193	193
Dnajb1	chr8	192	193	193
Asf1b	chr8	171	193	193
Aktip	chr8	193	193	193
Katnb1	chr8	185	193	193
Mon1b	chr8	184	193	193
Aasdhppt	chr9	192	193	193
Kbtbd3	chr9	193	193	193
Birc2	chr9	193	193	193
Cep57	chr9	191	193	193
Fam76b	chr9	184	193	193
Sesn3	chr9	183	193	193
Zfp317	chr9	193	193	193
Pin1	chr9	172	193	193
Bbs9	chr9	192	193	193
Herpud2	chr9	193	193	193
Stt3a	chr9	190	193	193
Tmem218	chr9	193	193	193
Fam214a	chr9	190	193	193
Ibtk	chr9	191	193	193
Azi2	chr9	192	193	193
Mtrf1l	chr10	191	193	193
Fbxo5	chr10	189	193	193
Shprh	chr10	193	193	193
Sf3b5	chr10	192	193	193
Ccdc28a	chr10	175	193	193
Hint3	chr10	192	193	193
Rwdd1	chr10	193	193	193
Cdk19	chr10	187	193	193
Gopc	chr10	191	193	193
Asf1a	chr10	192	193	193
4930467K11Rik	chr10	190	193	193
Hsf2	chr10	189	193	193
Lims1	chr10	193	193	193
Hsp90b1	chr10	164	193	193
Ttc41	chr10	191	193	193
Btg1	chr10	189	193	193
Tmtc3	chr10	192	193	193
Cep290	chr10	1	193	193
Mettl25	chr10	192	193	193
Ccdc59	chr10	189	193	193
Nap1l1	chr10	191	193	193
Thap2	chr10	167	193	193
Zfc3h1	chr10	189	193	193
Tmem5	chr10	181	193	193
Rab5b	chr10	192	193	193
Eldr	chr11	193	193	193
Fbxo48	chr11	189	193	193
Rab1a	chr11	111	193	193
Slc1a4	chr11	187	193	193
Sertad2	chr11	189	193	193
Peli1	chr11	191	193	193
Mdh1	chr11	192	193	193
Wdpcp	chr11	185	193	193
Xpo1	chr11	166	193	193
0610010F05Rik	chr11	192	193	193
Smek2	chr11	192	193	193
Cfap36	chr11	193	193	193
Cpeb4	chr11	175	193	193
Pwwp2a	chr11	188	193	193
G3bp1	chr11	168	193	193
Map3k3	chr11	115	193	193
Laptm4a	chr12	15	193	193
Hbp1	chr12	193	193	193
Arl4a	chr12	192	193	193
Mir1938	chr12	193	193	193
Ifrd1	chr12	193	193	193
Gm7008	chr12	193	193	193
Zfp277	chr12	193	193	193
Dock4	chr12	193	193	193
Immp2l	chr12	192	193	193
Dnajb9	chr12	189	193	193
Mir5627	chr12	193	193	193
Pnpla8	chr12	193	193	193
Brms1l	chr12	192	193	193
Pnn	chr12	191	193	193
Fbxo33	chr12	172	193	193
Gm527	chr12	189	193	193
Klhl28	chr12	191	193	193
Fam179b	chr12	191	193	193
3110056K07Rik	chr12	193	193	193
Arid4a	chr12	188	193	193
Daam1	chr12	193	193	193
Wdr89	chr12	193	193	193
Aldh6a1	chr12	189	193	193
Lin52	chr12	173	193	193
Sptlc2	chr12	192	193	193
Cep128	chr12	192	193	193
Sel1l	chr12	191	193	193
Rps6ka5	chr12	190	193	193
Xrcc3	chr12	181	193	193
Zfyve21	chr12	183	193	193
Esyt2	chr12	191	193	193
Sp4	chr12	192	193	193
Fam208b	chr13	191	193	193
Pitrm1	chr13	191	193	193
B3galnt2	chr13	190	193	193
Ggps1	chr13	192	193	193
Arid4b	chr13	179	193	193
Stard3nl	chr13	192	193	193
E2f3	chr13	188	193	193
Wrnip1	chr13	193	193	193
Fancc	chr13	160	193	193
Ercc6l2	chr13	193	193	193
Cdk20	chr13	193	193	193
Hiatl1	chr13	192	193	193
Ptdss1	chr13	173	193	193
Mterf3	chr13	189	193	193
Srd5a1	chr13	192	193	193
Nsun2	chr13	140	193	193
Rfesd	chr13	193	193	193
Lysmd3	chr13	186	193	193
Polr3g	chr13	190	193	193
Mblac2	chr13	190	193	193
Cetn3	chr13	193	193	193
Rasa1	chr13	192	193	193
Xrcc4	chr13	192	193	193
Tmem167	chr13	191	193	193
Dhfr	chr13	191	193	193
Msh3	chr13	191	193	193
Trappc13	chr13	164	193	193
Trim23	chr13	121	193	193
Pdhb	chr14	192	193	193
Nr1d2	chr14	192	193	193
Kat6b	chr14	9	193	193
Wapl	chr14	188	193	193
Ghitm	chr14	193	193	193
Tspan14	chr14	185	193	193
Txndc16	chr14	191	193	193
Gpr137c	chr14	192	193	193
Tmem55b	chr14	178	193	193
Hnrnpc	chr14	176	193	193
Prmt5	chr14	191	193	193
Hmbox1	chr14	182	193	193
Ints9	chr14	193	193	193
Cdca2	chr14	193	193	193
Kctd9	chr14	189	193	193
Klf5	chr14	190	193	193
Rap2a	chr14	139	193	193
AW549877	chr15	190	193	193
A630020A06	chr15	192	193	193
Oxct1	chr15	188	193	193
BC037032	chr15	170	193	193
Rpl37	chr15	189	193	193
Myo10	chr15	188	193	193
Oxr1	chr15	192	193	193
Gm10373	chr15	184	193	193
Emc2	chr15	193	193	193
Eny2	chr15	193	193	193
Nudcd1	chr15	179	193	193
Ebag9	chr15	147	193	193
Sp1	chr15	152	193	193
Mcm4	chr16	192	193	193
Prkdc	chr16	179	193	193
Eaf2	chr16	188	193	193
Gsk3b	chr16	193	193	193
BC031361	chr16	192	193	193
4932412D23Rik	chr16	193	193	193
Qtrtd1	chr16	186	193	193
Ccdc191	chr16	193	193	193
Cblb	chr16	193	193	193
Tfg	chr16	192	193	193
Tbc1d23	chr16	192	193	193
Dcbld2	chr16	190	193	193
Cldnd1	chr16	193	193	193
Arl6	chr16	193	193	193
Cggbp1	chr16	182	193	193
Gbe1	chr16	186	193	193
Hspa13	chr16	192	193	193
Tfb1m	chr17	193	193	193
1700102H20Rik	chr17	192	193	193
Rps6ka2	chr17	184	193	193
Acat2	chr17	178	193	193
Riok2	chr17	193	193	193
Lnpep	chr17	184	193	193
Ppp2r1a	chr17	191	193	193
Zfp53	chr17	193	193	193
Rab11b	chr17	193	193	193
Rn45s	chr17	1	193	193
Rab5a	chr17	193	193	193
Sgol1	chr17	192	193	193
Hdgfrp2	chr17	168	193	193
Khsrp	chr17	157	193	193
Gpr108	chr17	193	193	193
Fer	chr17	193	193	193
Pja2	chr17	185	193	193
Ralbp1	chr17	192	193	193
Ypel5	chr17	170	193	193
Birc6	chr17	192	193	193
Strn	chr17	186	193	193
Ppm1b	chr17	168	193	193
1110020A21Rik	chr17	193	193	193
Mettl4	chr17	193	193	193
2700099C18Rik	chr17	188	193	193
Arhgap12	chr18	191	193	193
Sap130	chr18	193	193	193
Stard4	chr18	185	193	193
Ankhd1	chr18	179	193	193
Lars	chr18	190	193	193
Tcerg1	chr18	186	193	193
Fem1c	chr18	190	193	193
Dtwd2	chr18	193	193	193
Dmxl1	chr18	129	193	193
March3	chr18	193	193	193
Dctn4	chr18	192	193	193
Malt1	chr18	185	193	193
Mex3c	chr18	187	193	193
Stip1	chr19	182	193	193
Osbp	chr19	155	193	193
Tle4	chr19	193	193	193
Morf4l2	chrX	193	193	193
Cdkl5	chrX	190	193	193
Piga	chrX	192	193	193
Mospd2	chrX	192	193	193
Fancb	chrX	192	193	193
