chrom	tss.start	tss.end	name2
chr1	36996371	36996373	Tmem131
chr1	37275121	37275123	Cnga3
chr1	37276048	37276050	Cnga3
chr1	37356681	37356683	Inpp4a
chr1	37426060	37426062	Inpp4a
chr1	37486947	37486949	Coa5
chr1	37487015	37487017	Unc50
chr1	37545449	37545451	4930594C11Rik
chr1	37593248	37593250	Mgat4a
chr1	37597860	37597862	Mgat4a
chr1	37776655	37776657	2010300C02Rik
chr1	37912217	37912219	Tsga10
chr1	37921926	37921928	Tsga10
chr1	37922142	37922144	Tsga10
chr1	37929049	37929051	Lipt1
chr1	37947255	37947257	Mitd1
chr1	37947396	37947398	Mrpl30
chr1	37973337	37973339	Lyg2
chr1	38014603	38014605	Lyg1
chr1	38054052	38054054	Txndc9
chr1	38054853	38054855	Eif5b
chr1	38186506	38186508	Rev1
chr1	38684088	38684090	Aff3
chr1	38878059	38878061	Lonrf2
chr1	38955004	38955006	Chst10
chr1	38995992	38995994	Nms
chr1	39044657	39044659	Pdcl3
chr1	39243836	39243838	Mir6349
chr1	39251115	39251117	Npas2
chr1	39424694	39424696	Rpl31
chr1	39535591	39535593	Tbc1d8
chr1	39592645	39592647	Cnot11
chr1	39605684	39605686	Snord89
chr1	39634191	39634193	Rnf149
chr1	39708026	39708028	Creg2
chr1	39777833	39777835	Rfx8
chr1	39862176	39862178	Gm3646
chr1	39904174	39904176	1700066B17Rik
chr1	39957756	39957758	Map4k4
chr1	40141611	40141613	Il1r2
chr1	40142695	40142697	Gm16894
chr1	40281923	40281925	Il1r1
chr1	40323429	40323431	Il1r1
chr1	40381470	40381472	Il1rl2
chr1	40486413	40486415	Il1rl1
chr1	40496472	40496474	Il1rl1
chr1	40522395	40522397	Il18r1
chr1	40522464	40522466	Il18r1
chr1	40522849	40522851	Il18r1
chr1	40572205	40572207	Il18rap
chr1	40637070	40637072	Slc9a4
chr1	40738555	40738557	Slc9a2
chr1	40847501	40847503	Mfsd9
chr1	40862444	40862446	Tmem182
chr1	41238096	41238098	4930448I06Rik
chr1	42751669	42751671	Pantr1
chr1	42753989	42753991	Pou3f3
chr1	42757179	42757181	2900092D14Rik
chr1	42770298	42770300	Pantr2
chr1	42807555	42807557	Dalir
chr1	42908076	42908078	Mrps9
chr1	43009715	43009717	Gpr45
chr1	43155466	43155468	Tgfbrap1
chr1	43155553	43155555	AI597479
chr1	43220805	43220807	Fhl2
chr1	43253605	43253607	Fhl2
chr1	43502594	43502596	Nck2
chr1	43787445	43787447	1500015O10Rik
chr1	43884552	43884554	Uxs1
chr1	43990837	43990839	Tpp2
chr1	44076850	44076852	Mettl21c
chr1	44159232	44159234	Tex30
chr1	44175617	44175619	Kdelc1
chr1	44176811	44176813	Bivm
chr1	44204587	44204589	Ercc5
chr1	44275775	44275777	Mettl21e
chr1	44608514	44608516	Gulp1
chr1	44801793	44801795	4930521E06Rik
chr1	45368381	45368383	Col3a1
chr1	45560126	45560128	Col5a2
chr1	45852344	45852346	Wdr75
chr1	45982438	45982440	Slc40a1
chr1	46087281	46087283	Stk-ps2
chr1	46123581	46123583	Dnah7b
chr1	46482361	46482363	Dnah7c
chr1	46910353	46910355	Slc39a10
chr1	47523968	47523970	Mir6350
chr1	50984365	50984367	Tmeff2
chr1	51345968	51345970	Sdpr
chr1	51390622	51390624	9330175M20Rik
chr1	51535242	51535244	Nabp1
chr1	51972821	51972823	Myo1b
chr1	52043990	52043992	Stat4
chr1	52065082	52065084	Stat4
chr1	52176280	52176282	Stat1
chr1	52176464	52176466	Stat1
chr1	52290075	52290077	Gls
chr1	52557291	52557293	Nab1
chr1	52687547	52687549	Tmem194b
chr1	52784161	52784163	Mfsd6
chr1	52874531	52874533	Inpp1
chr1	52901880	52901882	Hibch
chr1	53009683	53009685	1700019D03Rik
chr1	53118482	53118484	Mstn
chr1	53244460	53244462	1700019A02Rik
chr1	53353871	53353873	Pms1
chr1	53353937	53353939	Ormdl1
chr1	53370466	53370468	Osgepl1
chr1	53409595	53409597	Asnsd1
chr1	53763627	53763629	Dnah7a
chr1	53842058	53842060	Stk17b
chr1	53906266	53906268	Mir7681
chr1	54251877	54251879	Hecw2
chr1	54307525	54307527	Ccdc150
chr1	54495869	54495871	Gtf3c3
chr1	54614527	54614529	Pgap1
chr1	54983230	54983232	Ankrd44
chr1	55084321	55084323	Sf3b1
chr1	55109612	55109614	Coq10b
chr1	55144775	55144777	Hspd1
chr1	55144990	55144992	Hspe1
chr1	55188087	55188089	Mob4
chr1	55283625	55283627	Rftn2
chr1	55294019	55294021	Mars2
chr1	55419550	55419552	Boll
chr1	55420312	55420314	Boll
chr1	55462788	55462790	Plcl1
chr1	55988083	55988085	9130227L01Rik
chr1	56075820	56075822	1700003I22Rik
chr1	56694294	56694296	Hsfy2
chr1	57028177	57028179	Satb2
chr1	57028311	57028313	9130024F11Rik
chr1	57271839	57271841	BC055402
chr1	57434387	57434389	4930558J18Rik
chr1	57434462	57434464	1700066M21Rik
chr1	57463390	57463392	9430016H08Rik
chr1	57463517	57463519	Tyw5
chr1	57831703	57831705	Spats2l
chr1	57902413	57902415	Spats2l
chr1	58026367	58026369	Kctd18
chr1	58026927	58026929	Kctd18
chr1	58042182	58042184	Sgol2a
chr1	58052816	58052818	Sgol2a
chr1	58086811	58086813	Aox1
chr1	58169978	58169980	Aox3
chr1	58267239	58267241	Aox4
chr1	58335168	58335170	Aox2
chr1	58449978	58449980	Bzw1
chr1	58480931	58480933	Clk1
chr1	58502329	58502331	Ppil3
chr1	58504475	58504477	Nif3l1
chr1	58558269	58558271	Orc2
chr1	58561952	58561954	Orc2
chr1	58642997	58642999	Fam126b
chr1	58643176	58643178	Fam126b
chr1	58643239	58643241	Ndufb3
chr1	58709483	58709485	Gm20257
chr1	58752832	58752834	Als2cr12
chr1	58768333	58768335	Cflar
chr1	58770128	58770130	Cflar
chr1	58787394	58787396	Cflar
chr1	58852216	58852218	Casp8
chr1	58859344	58859346	Casp8
chr1	59030325	59030327	Trak2
chr1	59030413	59030415	Stradb
chr1	59151743	59151745	Als2cr11
chr1	59176649	59176651	Tmem237
chr1	59176939	59176941	Tmem237
chr1	59218479	59218481	Mpp4
chr1	59220232	59220234	Mpp4
chr1	59293936	59293938	Als2
chr1	59294074	59294076	Als2
chr1	59313749	59313751	Cdk15
chr1	59538989	59538991	Fzd7
chr1	59573106	59573108	Gm973
chr1	59727677	59727679	Sumo1
chr1	59741848	59741850	Nop58
chr1	59748800	59748802	Snord70
chr1	59761650	59761652	Snord11
chr1	59821121	59821123	Bmpr2
chr1	59969848	59969850	Fam117b
chr1	60099965	60099967	Ica1l
chr1	60154750	60154752	Wdr12
chr1	60154977	60154979	Wdr12
chr1	60155089	60155091	Carf
chr1	60155343	60155345	Wdr12
chr1	60164925	60164927	Carf
chr1	60237441	60237443	Nbeal1
chr1	60400142	60400144	Cyp20a1
chr1	60466461	60466463	Abi2
chr1	60623608	60623610	Raph1
chr1	60803230	60803232	Cd28
chr1	60965867	60965869	Ctla4
chr1	61034756	61034758	Icos
chr1	61435274	61435276	9530026F06Rik
chr1	61685396	61685398	Pard3b
chr1	62749889	62749891	Nrp2
chr1	62841305	62841307	4930487H11Rik
chr1	63160840	63160842	Ino80d
chr1	63161043	63161045	Ino80dos
chr1	63161312	63161314	Ino80dos
chr1	63223395	63223397	Ndufs1
chr1	63223403	63223405	Eef1b2
chr1	63225595	63225597	Snora41
chr1	63246930	63246932	Zdbf2
chr1	63260854	63260856	Gpr1
chr1	63319841	63319843	Zdbf2
chr1	63492463	63492465	Adam23
chr1	63733500	63733502	Dytn
chr1	63776891	63776893	Mdh1b
chr1	63777197	63777199	Fastkd2
chr1	63815840	63815842	4933402D24Rik
chr1	64011299	64011301	Gm13749
chr1	64089074	64089076	Mir6899
chr1	64167962	64167964	Klf7
chr1	64579376	64579378	Creb1
chr1	64663741	64663743	Mettl21a
chr1	64737232	64737234	2810408I11Rik
chr1	64737917	64737919	Ccnyl1
chr1	64784323	64784325	Fzd5
chr1	65003397	65003399	Plekhm3
chr1	65079332	65079334	Akr1cl
chr1	65097736	65097738	Cryge
chr1	65110013	65110015	Crygd
chr1	65120105	65120107	Crygc
chr1	65128863	65128865	Crygb
chr1	65149936	65149938	Cryga
chr1	65169787	65169789	D630023F18Rik
chr1	65225715	65225717	Idh1
chr1	65233052	65233054	Idh1
chr1	65233257	65233259	Pikfyve
chr1	65357829	65357831	Pth2r
chr1	65973094	65973096	Crygf
chr1	66221901	66221903	Map2
chr1	66368296	66368298	Map2
chr1	66515019	66515021	Unc80
chr1	66747403	66747405	Rpe
chr1	66864168	66864170	Kansl1l
chr1	66909882	66909884	Acadl
chr1	66981939	66981941	Myl1
chr1	66991629	66991631	Myl1
chr1	67085407	67085409	Lancl1
chr1	67085445	67085447	Lancl1
chr1	67169599	67169601	Cps1
chr1	69154632	69154634	Erbb4
chr1	69732533	69732535	Ikzf2
chr1	69873542	69873544	Spag16
chr1	69998187	69998189	Spag16
chr1	70772287	70772289	Vwc2l
chr1	71149545	71149547	Bard1
chr1	71461483	71461485	Abca12
chr1	71603728	71603730	Atic
chr1	71699807	71699809	Fn1
chr1	71699907	71699909	Apol7d
chr1	71934684	71934686	Gm8883
chr1	72051768	72051770	4933417E11Rik
chr1	72258880	72258882	Mreg
chr1	72330887	72330889	Pecr
chr1	72330945	72330947	Tmem169
chr1	72353993	72353995	Xrcc5
chr1	72583137	72583139	March4
chr1	72629823	72629825	Smarcal1
chr1	72747137	72747139	Ankar
chr1	72757832	72757834	Rpl37a
chr1	72871052	72871054	Igfbp2
chr1	72871959	72871961	Igfbp2
chr1	72921438	72921440	Igfbp5
chr1	73062472	73062474	Tnp1
chr1	73062608	73062610	1700027A15Rik
chr1	73071158	73071160	1700027A15Rik
chr1	73445540	73445542	D530049I02Rik
chr1	73454142	73454144	Pinc
chr1	73902148	73902150	Mir6351
chr1	73911039	73911041	6030407O03Rik
chr1	74171020	74171022	Tns1
chr1	74171022	74171024	Tns1
chr1	74172113	74172115	Rufy4
chr1	74200566	74200568	Cxcr2
chr1	74241204	74241206	Cxcr1
chr1	74253193	74253195	Mir1928
chr1	74283122	74283124	Arpc2
chr1	74325172	74325174	Gpbar1
chr1	74331311	74331313	Aamp
chr1	74331606	74331608	Pnkd
chr1	74350909	74350911	Tmbim1
chr1	74379182	74379184	Pnkd
chr1	74408680	74408682	Catip
chr1	74421775	74421777	Slc11a1
chr1	74438181	74438183	Ctdsp1
chr1	74440882	74440884	Mir26b
chr1	74455956	74455958	Vil1
chr1	74552394	74552396	Usp37
chr1	74552632	74552634	Rqcd1
chr1	74589461	74589463	Plcd4
chr1	74590859	74590861	Usp37
chr1	74590932	74590934	Plcd4
chr1	74634601	74634603	Zfp142
chr1	74634861	74634863	Bcs1l
chr1	74647970	74647972	Rnf25
chr1	74648027	74648029	Stk36
chr1	74708326	74708328	Ttll4
chr1	74760107	74760109	Cyp27a1
chr1	74795528	74795530	Prkag3
chr1	74818464	74818466	Wnt6
chr1	74838591	74838593	Wnt10a
chr1	74901601	74901603	Cdk5r2
chr1	74931981	74931983	Fev
chr1	74939716	74939718	Cryba2
chr1	74947294	74947296	Mir375
chr1	74982172	74982174	Ccdc108
chr1	74998245	74998247	Ihh
chr1	75121799	75121801	Nhej1
chr1	75130463	75130465	Slc23a3
chr1	75138941	75138943	Cnppd1
chr1	75139358	75139360	Fam134a
chr1	75139730	75139732	Fam134a
chr1	75165218	75165220	Zfand2b
chr1	75165307	75165309	Zfand2b
chr1	75176965	75176967	Abcb6
chr1	75188583	75188585	Atg9a
chr1	75188732	75188734	Ankzf1
chr1	75207352	75207354	Glb1l
chr1	75207402	75207404	Stk16
chr1	75215868	75215870	Tuba4a
chr1	75220228	75220230	A630095N17Rik
chr1	75228667	75228669	A630095N17Rik
chr1	75232996	75232998	Dnajb2
chr1	75233275	75233277	Dnajb2
chr1	75260782	75260784	Ptprn
chr1	75274954	75274956	Resp18
chr1	75313591	75313593	Dnpep
chr1	75314211	75314213	Dnpep
chr1	75356865	75356867	Des
chr1	75371589	75371591	Gm15179
chr1	75371870	75371872	Speg
chr1	75378687	75378689	Speg
chr1	75382183	75382185	Speg
chr1	75396658	75396660	Speg
chr1	75432516	75432518	Gmppa
chr1	75447083	75447085	Asic4
chr1	75476045	75476047	Chpf
chr1	75476105	75476107	Tmem198
chr1	75503026	75503028	Obsl1
chr1	75503650	75503652	Inha
chr1	75518102	75518104	Stk11ip
chr1	75542839	75542841	Slc4a3
chr1	76485706	76485708	Gm17751
chr1	76506133	76506135	Mir6343
chr1	77493342	77493344	Mir6352
chr1	77511662	77511664	Epha4
chr1	78193710	78193712	Pax3
chr1	78306919	78306921	Sgpp2
chr1	78485471	78485473	Farsb
chr1	78507633	78507635	Mogat1
chr1	78654398	78654400	Acsl3
chr1	78654398	78654400	Utp14b
chr1	78655013	78655015	Utp14b
chr1	78813522	78813524	Kcne4
chr1	79436664	79436666	Scg2
chr1	79668546	79668548	Ap1s3
chr1	79758343	79758345	Wdfy1
chr1	79772591	79772593	Mrpl44
chr1	79855239	79855241	Serpine2
chr1	80210518	80210520	Fam124b
chr1	80337264	80337266	Cul3
chr1	80442505	80442507	1700016L21Rik
chr1	80661926	80661928	Dock10
chr1	80755127	80755129	Dock10
chr1	81073890	81073892	Nyap2
chr1	82128489	82128491	Mir6344
chr1	82288013	82288015	Irs1
chr1	82313152	82313154	Rhbdd1
chr1	82335622	82335624	Rhbdd1
chr1	82583423	82583425	Col4a4
chr1	82583494	82583496	Col4a3
chr1	82721463	82721465	Mff
chr1	82765030	82765032	Tm4sf20
chr1	82836033	82836035	Agfg1
chr1	83035022	83035024	Slc19a3
chr1	83057503	83057505	Krtap28-13
chr1	83113339	83113341	Ccl20
chr1	83156335	83156337	Daw1
chr1	83404774	83404776	Sphkap
chr1	84215535	84215537	Mir6353
chr1	84281219	84281221	Pid1
chr1	84692412	84692414	Mir5126
chr1	84692795	84692797	Dner
chr1	84835878	84835880	Trip12
chr1	84836414	84836416	Fbxo36
chr1	84931657	84931659	Slc16a14
chr1	85106427	85106429	A530032D15Rik
chr1	85196184	85196186	Gm7609
chr1	85267140	85267142	C130026I21Rik
chr1	87495384	87495386	Sp110
chr1	87497276	87497278	Sp140
chr1	87500465	87500467	Sp110
chr1	87546561	87546563	Sp100
chr1	87633180	87633182	A630001G21Rik
chr1	87648521	87648523	Mir8096
chr1	87671844	87671846	9930111H07Rik
chr1	87690020	87690022	Cab39
chr1	87791083	87791085	Itm2c
chr1	87825056	87825058	4933407L21Rik
chr1	87857629	87857631	Gpr55
chr1	87918515	87918517	Spata3
chr1	87942436	87942438	2810459M11Rik
chr1	87961192	87961194	Psmd1
chr1	88008544	88008546	Htr2b
chr1	88051353	88051355	Armc9
chr1	88199794	88199796	B3gnt7
chr1	88247859	88247861	Snora75
chr1	88248701	88248703	Gm24148
chr1	88252901	88252903	Snord82
chr1	88256029	88256031	Ncl
chr1	88256147	88256149	C130036L24Rik
chr1	88284715	88284717	Nmur1
chr1	88322902	88322904	1700019O17Rik
chr1	88423309	88423311	Ptma
chr1	88479075	88479077	Pde6d
chr1	88483673	88483675	Cops7b
chr1	88567147	88567149	Nppc
chr1	88600377	88600379	Dis3l2
chr1	88986502	88986504	Alppl2
chr1	88998180	88998182	Alpi
chr1	89021581	89021583	Akp3
chr1	89052710	89052712	Ecel1
chr1	89052930	89052932	Ecel1
chr1	89079887	89079889	Prss56
chr1	89087170	89087172	Chrnd
chr1	89102384	89102386	Chrng
chr1	89110487	89110489	Eif4e2
chr1	89110512	89110514	Eif4e2
chr1	89160937	89160939	Efhd1
chr1	89223571	89223573	Gigyf2
chr1	89291303	89291305	Kcnj13
chr1	89366837	89366839	3110079O15Rik
chr1	89406936	89406938	Ngef
chr1	89470444	89470446	Ngef
chr1	89470600	89470602	Neu2
chr1	89480595	89480597	Neu2
chr1	89491123	89491125	Neu2
chr1	89516885	89516887	Inpp5d
chr1	89652584	89652586	Atg16l1
chr1	89681144	89681146	Scarna6
chr1	89700253	89700255	Sag
chr1	89749860	89749862	Dgkd
chr1	89905125	89905127	Usp40
chr1	89951984	89951986	Ugt1a10
chr1	89967352	89967354	Ugt1a9
chr1	89991574	89991576	Ugt1a7c
chr1	89999830	89999832	Ugt1a6b
chr1	90031382	90031384	Ugt1a6a
chr1	90062585	90062587	Ugt1a5
chr1	90097184	90097186	Ugt1a2
chr1	90102322	90102324	Dnajb3
chr1	90108532	90108534	Ugt1a1
chr1	90123593	90123595	Mroh2a
chr1	90165982	90165984	6430706D22Rik
chr1	90174131	90174133	A730008H23Rik
chr1	90174153	90174155	Hjurp
chr1	90203285	90203287	Trpm8
chr1	90303583	90303585	Spp2
chr1	90406640	90406642	Glrp1
chr1	90448090	90448092	Gm19589
chr1	90598765	90598767	Arl4c
chr1	90651463	90651465	Platr5
chr1	90912686	90912688	1700067G17Rik
chr1	90967035	90967037	Sh3bp4
chr1	91302707	91302709	C030007H22Rik
chr1	91351384	91351386	Agap1
chr1	91580466	91580468	4933400F21Rik
chr1	91827750	91827752	Gbx2
chr1	91911151	91911153	Asb18
chr1	92049975	92049977	Iqca
chr1	92100553	92100555	Ackr3
chr1	92499998	92500000	Cops8
chr1	92740547	92740549	Col6a3
chr1	92811675	92811677	Mlph
chr1	92849683	92849685	Prlh
chr1	92864243	92864245	Rab17
chr1	92866196	92866198	Rab17
chr1	92895302	92895304	Lrrfip1
chr1	92950019	92950021	Lrrfip1
chr1	93041678	93041680	Rbm44
chr1	93076397	93076399	Ramp1
chr1	93146894	93146896	Ube2f
chr1	93194913	93194915	Scly
chr1	93218650	93218652	Espnl
chr1	93247648	93247650	Klhl30
chr1	93263005	93263007	Fam132b
chr1	93295359	93295361	Ilkap
chr1	93302605	93302607	1700020N18Rik
chr1	93309798	93309800	Hes6
chr1	93355904	93355906	Per2
chr1	93391243	93391245	Traf3ip1
chr1	93437140	93437142	Asb1
chr1	93437655	93437657	Asb1
chr1	93698036	93698038	Twist2
chr1	94076917	94076919	Hdac4
chr1	94361118	94361120	Mir6900
chr1	94370334	94370336	Ndufa10
chr1	94377195	94377197	Olfr1416
chr1	94388329	94388331	Olfr1415
chr1	94415091	94415093	Olfr1414
chr1	94469700	94469702	Olfr1413
chr1	94484907	94484909	Olfr1412
chr1	94493096	94493098	Olfr1411
chr1	94504414	94504416	Olfr1410
chr1	94516456	94516458	Olfr12
chr1	94538524	94538526	Myeov2
chr1	94538561	94538563	Myeov2
chr1	94545417	94545419	Otos
chr1	94728261	94728263	Gpc1
chr1	94746953	94746955	Mir149
chr1	94799482	94799484	Ankmy1
chr1	94803564	94803566	Dusp28
chr1	94807400	94807402	Rnpepl1
chr1	94830983	94830985	Capn10
chr1	94847166	94847168	9430060I03Rik
chr1	94869694	94869696	Gpr35
chr1	94871922	94871924	Gpr35
chr1	94875478	94875480	Gpr35
chr1	94902909	94902911	Aqp12
chr1	94979056	94979058	Kif1a
chr1	94998450	94998452	Kif1a
chr1	95031815	95031817	Agxt
chr1	95057446	95057448	2310007B03Rik
chr1	95057524	95057526	2310007B03Rik
chr1	95064998	95065000	Crocc2
chr1	95132472	95132474	Sned1
chr1	95171124	95171126	Mir6901
chr1	95202455	95202457	Mterf4
chr1	95239364	95239366	Pask
chr1	95240220	95240222	Ppp1r7
chr1	95242667	95242669	Mir6902
chr1	95248733	95248735	Mir6345
chr1	95270471	95270473	Ano7
chr1	95342277	95342279	Hdlbp
chr1	95375493	95375495	Hdlbp
chr1	95375568	95375570	Sept2
chr1	95375636	95375638	Sept2
chr1	95408679	95408681	Farp2
chr1	95532303	95532305	Stk25
chr1	95582150	95582152	Bok
chr1	95628502	95628504	Thap4
chr1	95651414	95651416	Thap4
chr1	95651608	95651610	Atg4b
chr1	95698510	95698512	Dtymk
chr1	95700540	95700542	Ing5
chr1	95721815	95721817	D2hgdh
chr1	95757919	95757921	Gal3st2
chr1	95815012	95815014	Gm9994
chr1	95887084	95887086	Gm6086
chr1	95917068	95917070	Neu4
chr1	95949129	95949131	Pdcd1
chr1	96694017	96694019	4930440C22Rik
chr1	97210203	97210205	Fam174a
chr1	97564170	97564172	St8sia4
chr1	97613094	97613096	4930598F16Rik
chr1	97918334	97918336	1700063A18Rik
chr1	98559149	98559151	4930533P14Rik
chr1	98767701	98767703	Panct2
chr1	98768747	98768749	Slco4c1
chr1	98894136	98894138	Slco6b1
chr1	99024879	99024881	Slco6c1
chr1	99558594	99558596	D1Ertd622e
chr1	99666668	99666670	Ppip5k2
chr1	99666747	99666749	Gin1
chr1	99944369	99944371	B230216N24Rik
chr1	99992208	99992210	Pam
chr1	100028042	100028044	1810006J02Rik
chr1	100317699	100317701	Slco6d1
chr1	101669340	101669342	Cntnap5b
chr1	103052343	103052345	Gm20268
chr1	106665394	106665396	Cdh20
chr1	107253286	107253288	Rnf152
chr1	107560252	107560254	Pign
chr1	107560436	107560438	2310035C23Rik
chr1	107677298	107677300	Tnfrsf11a
chr1	107886981	107886983	Zcchc2
chr1	108068100	108068102	Gm20753
chr1	108068444	108068446	Phlpp1
chr1	108443207	108443209	Mir3473f
