name2	chrom	f10.AMYGDALA_CTRL_1	f10.AMYGDALA_CTRL_2	f10.AMYGDALA_FEAR_1	f10.AMYGDALA_FEAR_2	f10.CORTEX_CTRL_1	f10.CORTEX_CTRL_2	f10.CORTEX_FEAR_1	f10.CORTEX_FEAR_2	f10.AMYGDALA_ERRB4_KO_1	f10.AMYGDALA_ERRB4_KO_2	f10.AMYGDALA_ERRB4_KO_3	f10.AMYGDALA_ERRB4_WT_1	f10.AMYGDALA_ERRB4_WT_2	f10.CORTEX_ERRB4_KO_1	f10.CORTEX_ERRB4_KO_2	f10.CORTEX_ERRB4_KO_3	f10.CORTEX_ERRB4_WT_1	f10.CORTEX_ERRB4_WT_2
Sulf1	chr1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1
Slco5a1	chr1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
Prdm14	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ncoa2	chr1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Tram1	chr1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Lactb2	chr1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1
Xkr9	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5523	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eya1	chr1	1	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1
Msc	chr1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1
Trpa1	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnb2	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terf1	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sbspon	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930444P10Rik	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl7	chr1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Rdh10	chr1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Stau2	chr1	1	0	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1
Ube2w	chr1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Tceb1	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
D030040B21Rik	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Tmem70	chr1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Ly96	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jph1	chr1	1	0	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1
Gdap1	chr1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Pi15	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crispld1	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16070	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb44-ps	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb18	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb41	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15386	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2b	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930486I03Rik	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pkhd1	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Linc-md1	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir206	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir133b	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17a	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17f	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcm3	chr1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6720483E21Rik	chr1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Paqr8	chr1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Efhc1	chr1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Tram2	chr1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1
Tmem14a	chr1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Gsta3	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4956	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1a	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1c	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1b	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnq5	chr1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Rims1	chr1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	1
4933415F23Rik	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir30a	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir30c-2	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ogfrl1	chr1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
B3gat2	chr1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1
Smap1	chr1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Sdhaf4	chr1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Fam135a	chr1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Col9a1	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col19a1	chr1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Lmbrd1	chr1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Gm20172	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adgrb3	chr1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1
4931408C20Rik	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm597	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6342	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phf3	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13363	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Ptp4a1	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Lgsn	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931428L18Rik	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pih1d3	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4850	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdrbs2	chr1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Gm9839	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5415	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prim2	chr1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1
1700001G17Rik	chr1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1
Rab23	chr1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Bag2	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp451	chr1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Gm15455	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bend6	chr1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1
Dst	chr1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1
Mir6896	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir5103	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc115	chr1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Imp4	chr1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Ptpn18	chr1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0
Prss39	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cfc1	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss40	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amer3	chr1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1
AA619741	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef4	chr1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0
Fam168b	chr1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	1
Plekhb2	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hs6st1	chr1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1
Mir6897	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uggt1	chr1	1	0	1	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1
Neurl3	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arid5a	chr1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0
Mir6898	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kansl3	chr1	1	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	0	0
Fer1l5	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lman2l	chr1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	1
Cnnm4	chr1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Cnnm3	chr1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Ankrd23	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd39	chr1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Sema4c	chr1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Fam178b	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cox5b	chr1	1	0	1	0	1	1	1	1	0	1	0	0	0	0	1	1	1	1
Actr1b	chr1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
4933424G06Rik	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zap70	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem131	chr1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Cnga3	chr1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Inpp4a	chr1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Coa5	chr1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Unc50	chr1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
4930594C11Rik	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mgat4a	chr1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1
2010300C02Rik	chr1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0
Tsga10	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Lipt1	chr1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0
Mitd1	chr1	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0
Mrpl30	chr1	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0
Lyg2	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lyg1	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Txndc9	chr1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Eif5b	chr1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Rev1	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Aff3	chr1	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0
Lonrf2	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chst10	chr1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0
Nms	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdcl3	chr1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1
Mir6349	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npas2	chr1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Rpl31	chr1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1
Tbc1d8	chr1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0
Cnot11	chr1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Snord89	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf149	chr1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Creg2	chr1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1
Rfx8	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3646	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066B17Rik	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map4k4	chr1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0
Il1r2	chr1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1
Gm16894	chr1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1
Il1r1	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il1rl2	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il1rl1	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il18r1	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il18rap	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc9a4	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc9a2	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mfsd9	chr1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	1	1	1
Tmem182	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930448I06Rik	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pantr1	chr1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Pou3f3	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2900092D14Rik	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pantr2	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dalir	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrps9	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Gpr45	chr1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	0	1
Tgfbrap1	chr1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
AI597479	chr1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Fhl2	chr1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0
Nck2	chr1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1
1500015O10Rik	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uxs1	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Tpp2	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mettl21c	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tex30	chr1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Kdelc1	chr1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Bivm	chr1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Ercc5	chr1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1
Mettl21e	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Gulp1	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930521E06Rik	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col3a1	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col5a2	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr75	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Slc40a1	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
Stk-ps2	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnah7b	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnah7c	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc39a10	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mir6350	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmeff2	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sdpr	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9330175M20Rik	chr1	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1
Nabp1	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Myo1b	chr1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Stat4	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stat1	chr1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1
Gls	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Nab1	chr1	1	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1
Tmem194b	chr1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Mfsd6	chr1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0
Inpp1	chr1	1	0	1	0	1	1	1	1	1	0	1	0	0	0	1	1	0	1
Hibch	chr1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1700019D03Rik	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mstn	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1700019A02Rik	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pms1	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Ormdl1	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Osgepl1	chr1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1
Asnsd1	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dnah7a	chr1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1
Stk17b	chr1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
Mir7681	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hecw2	chr1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1
Ccdc150	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Gtf3c3	chr1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1
Pgap1	chr1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Ankrd44	chr1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0
Sf3b1	chr1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Coq10b	chr1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Hspd1	chr1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Hspe1	chr1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mob4	chr1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Rftn2	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mars2	chr1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Boll	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plcl1	chr1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
9130227L01Rik	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003I22Rik	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsfy2	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satb2	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9130024F11Rik	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC055402	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930558J18Rik	chr1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
1700066M21Rik	chr1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
9430016H08Rik	chr1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1
Tyw5	chr1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1
Spats2l	chr1	1	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	0	1
Kctd18	chr1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Sgol2a	chr1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Aox1	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aox3	chr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
