name2	chrom	tss_samples	tss1k_samples	gene1k_samples
Zfp451	chr1	160	168	169
Gm15455	chr1	0	1	1
Bend6	chr1	26	87	127
Dst	chr1	34	149	171
Mir6896	chr1	0	0	0
Mir5103	chr1	29	70	70
Ccdc115	chr1	175	185	185
Imp4	chr1	173	185	185
Ptpn18	chr1	153	157	160
Prss39	chr1	0	1	1
Cfc1	chr1	0	2	41
Prss40	chr1	0	0	7
Amer3	chr1	71	73	93
AA619741	chr1	0	0	0
Arhgef4	chr1	129	139	140
Fam168b	chr1	129	146	151
Plekhb2	chr1	122	133	143
Hs6st1	chr1	127	134	154
Mir6897	chr1	0	3	3
Uggt1	chr1	147	151	155
Neurl3	chr1	96	113	119
Arid5a	chr1	144	148	152
Mir6898	chr1	0	0	0
Kansl3	chr1	122	129	130
Fer1l5	chr1	0	0	13
Lman2l	chr1	166	168	168
Cnnm4	chr1	133	144	149
Cnnm3	chr1	169	172	172
Ankrd23	chr1	0	9	23
Ankrd39	chr1	164	175	176
Sema4c	chr1	48	104	105
Fam178b	chr1	1	76	136
Cox5b	chr1	163	163	163
Actr1b	chr1	157	172	172
4933424G06Rik	chr1	0	0	97
Zap70	chr1	50	53	63
Tmem131	chr1	112	158	166
Cnga3	chr1	0	11	48
Inpp4a	chr1	124	138	154
Coa5	chr1	161	165	165
Unc50	chr1	162	165	165
4930594C11Rik	chr1	0	8	48
Mgat4a	chr1	143	161	171
2010300C02Rik	chr1	27	49	140
Tsga10	chr1	186	188	188
Lipt1	chr1	133	140	140
Mitd1	chr1	134	137	137
Mrpl30	chr1	122	137	137
Lyg2	chr1	0	0	13
Lyg1	chr1	0	0	0
Txndc9	chr1	172	179	179
Eif5b	chr1	145	179	179
Rev1	chr1	108	158	159
Aff3	chr1	27	51	159
Lonrf2	chr1	0	0	7
Chst10	chr1	85	100	103
Nms	chr1	0	0	2
Pdcl3	chr1	160	173	173
Mir6349	chr1	1	4	4
Npas2	chr1	6	16	92
Rpl31	chr1	165	168	168
Tbc1d8	chr1	134	143	158
Cnot11	chr1	149	165	165
Snord89	chr1	14	16	16
Rnf149	chr1	144	156	157
Creg2	chr1	19	60	86
Rfx8	chr1	6	11	85
Gm3646	chr1	7	27	27
1700066B17Rik	chr1	40	44	69
Map4k4	chr1	94	110	163
Il1r2	chr1	28	74	104
Gm16894	chr1	62	70	103
Il1r1	chr1	79	81	137
Il1rl2	chr1	40	57	99
Il1rl1	chr1	13	26	93
Il18r1	chr1	44	45	85
Il18rap	chr1	65	66	85
Slc9a4	chr1	0	4	80
Slc9a2	chr1	51	82	92
Mfsd9	chr1	147	151	151
Tmem182	chr1	3	5	64
4930448I06Rik	chr1	0	0	1
Pantr1	chr1	0	8	15
Pou3f3	chr1	0	1	4
2900092D14Rik	chr1	0	0	0
Pantr2	chr1	6	22	28
Dalir	chr1	0	0	0
Mrps9	chr1	186	189	189
Gpr45	chr1	36	58	74
Tgfbrap1	chr1	180	181	183
AI597479	chr1	178	181	181
Fhl2	chr1	115	122	153
Nck2	chr1	119	139	169
1500015O10Rik	chr1	9	10	11
Uxs1	chr1	170	189	190
Tpp2	chr1	189	191	191
Mettl21c	chr1	0	0	1
Tex30	chr1	186	186	186
Kdelc1	chr1	169	175	175
Bivm	chr1	105	169	169
Ercc5	chr1	173	184	184
Mettl21e	chr1	0	1	3
Gulp1	chr1	36	45	57
4930521E06Rik	chr1	0	0	0
Col3a1	chr1	2	2	23
Col5a2	chr1	5	7	33
Wdr75	chr1	181	189	189
Slc40a1	chr1	96	130	130
Stk-ps2	chr1	0	0	24
Dnah7b	chr1	34	41	59
Dnah7c	chr1	38	46	54
Slc39a10	chr1	187	192	192
Mir6350	chr1	0	0	0
Tmeff2	chr1	127	133	137
Sdpr	chr1	24	40	42
9330175M20Rik	chr1	13	113	116
Nabp1	chr1	193	193	193
Myo1b	chr1	78	104	131
Stat4	chr1	0	70	157
Stat1	chr1	169	170	173
Gls	chr1	191	193	193
Nab1	chr1	124	153	167
Tmem194b	chr1	169	172	172
Mfsd6	chr1	86	130	169
Inpp1	chr1	132	161	167
Hibch	chr1	192	193	193
1700019D03Rik	chr1	60	107	111
Mstn	chr1	0	3	3
1700019A02Rik	chr1	0	3	11
Pms1	chr1	191	192	192
Ormdl1	chr1	192	192	192
Osgepl1	chr1	158	167	167
Asnsd1	chr1	183	184	184
Dnah7a	chr1	86	89	101
Stk17b	chr1	178	185	186
Mir7681	chr1	0	0	0
Hecw2	chr1	20	56	155
Ccdc150	chr1	186	188	188
Gtf3c3	chr1	150	154	154
Pgap1	chr1	146	153	157
Ankrd44	chr1	142	149	168
Sf3b1	chr1	173	174	174
Coq10b	chr1	192	192	192
Hspd1	chr1	150	182	182
Hspe1	chr1	178	182	182
Mob4	chr1	161	175	176
Rftn2	chr1	12	25	134
Mars2	chr1	178	178	178
Boll	chr1	108	140	142
Plcl1	chr1	143	149	158
9130227L01Rik	chr1	0	0	34
1700003I22Rik	chr1	0	4	4
Hsfy2	chr1	0	0	0
Satb2	chr1	0	60	102
9130024F11Rik	chr1	0	66	109
BC055402	chr1	0	0	26
4930558J18Rik	chr1	175	178	178
1700066M21Rik	chr1	175	178	178
9430016H08Rik	chr1	147	157	157
Tyw5	chr1	149	157	164
Spats2l	chr1	16	57	95
Kctd18	chr1	164	170	170
Sgol2a	chr1	175	178	178
Aox1	chr1	56	131	147
Aox3	chr1	9	19	65
Aox4	chr1	29	32	61
Aox2	chr1	0	0	121
Bzw1	chr1	147	167	167
Clk1	chr1	139	147	147
Ppil3	chr1	161	170	170
Nif3l1	chr1	0	0	40
Orc2	chr1	182	187	187
Fam126b	chr1	153	161	164
Ndufb3	chr1	155	161	161
Gm20257	chr1	112	119	119
Als2cr12	chr1	0	1	59
Cflar	chr1	83	150	151
Casp8	chr1	114	142	143
Trak2	chr1	169	177	177
Stradb	chr1	171	177	177
Als2cr11	chr1	0	0	24
Tmem237	chr1	161	169	169
Mpp4	chr1	13	47	172
Als2	chr1	158	164	166
Cdk15	chr1	18	18	73
Fzd7	chr1	157	166	166
Gm973	chr1	10	14	133
Sumo1	chr1	139	147	148
Nop58	chr1	155	158	162
Snord70	chr1	0	1	1
Snord11	chr1	0	8	8
Bmpr2	chr1	0	159	161
Fam117b	chr1	174	178	178
Ica1l	chr1	67	96	128
Wdr12	chr1	170	178	178
Carf	chr1	170	178	178
Nbeal1	chr1	176	190	190
Cyp20a1	chr1	168	178	180
Abi2	chr1	149	166	169
Raph1	chr1	149	162	162
Cd28	chr1	76	83	86
Ctla4	chr1	28	28	102
Icos	chr1	45	45	76
9530026F06Rik	chr1	0	11	14
Pard3b	chr1	87	93	172
Nrp2	chr1	117	124	159
4930487H11Rik	chr1	8	51	51
Ino80d	chr1	72	148	149
Ino80dos	chr1	144	148	162
Ndufs1	chr1	141	145	145
Eef1b2	chr1	141	145	164
Snora41	chr1	0	0	0
Zdbf2	chr1	10	16	52
Gpr1	chr1	0	0	37
Adam23	chr1	1	3	38
Dytn	chr1	0	0	68
Mdh1b	chr1	89	155	155
Fastkd2	chr1	153	155	155
4933402D24Rik	chr1	0	0	30
Gm13749	chr1	0	0	1
Mir6899	chr1	0	3	4
Klf7	chr1	31	191	191
Creb1	chr1	187	189	189
Mettl21a	chr1	156	172	172
2810408I11Rik	chr1	183	189	189
Ccnyl1	chr1	42	189	189
Fzd5	chr1	164	172	172
Plekhm3	chr1	142	149	180
Akr1cl	chr1	0	0	8
Cryge	chr1	0	0	8
Crygd	chr1	0	0	0
Crygc	chr1	0	0	0
Crygb	chr1	0	0	0
Cryga	chr1	0	0	0
D630023F18Rik	chr1	15	17	98
Idh1	chr1	177	189	189
Pikfyve	chr1	183	185	185
Pth2r	chr1	3	6	28
Crygf	chr1	0	17	17
Map2	chr1	110	124	139
Unc80	chr1	26	59	121
Rpe	chr1	183	185	185
Kansl1l	chr1	157	174	179
Acadl	chr1	128	157	158
Myl1	chr1	2	2	32
Lancl1	chr1	174	175	175
Cps1	chr1	0	0	60
Erbb4	chr1	4	23	102
Ikzf2	chr1	0	8	112
Spag16	chr1	36	42	104
Vwc2l	chr1	27	31	74
Bard1	chr1	183	190	190
Abca12	chr1	0	5	56
Atic	chr1	183	185	186
Fn1	chr1	86	106	111
Apol7d	chr1	81	106	106
Gm8883	chr1	6	8	8
4933417E11Rik	chr1	0	0	62
Mreg	chr1	104	110	134
Pecr	chr1	165	170	170
Tmem169	chr1	163	170	170
Xrcc5	chr1	156	161	169
March4	chr1	6	41	107
Smarcal1	chr1	184	187	187
Ankar	chr1	0	1	22
Rpl37a	chr1	143	150	150
Igfbp2	chr1	1	15	20
Igfbp5	chr1	1	6	87
Tnp1	chr1	0	0	0
1700027A15Rik	chr1	0	3	9
D530049I02Rik	chr1	0	0	4
Pinc	chr1	0	0	7
Mir6351	chr1	0	0	0
6030407O03Rik	chr1	0	0	71
Tns1	chr1	54	107	158
Rufy4	chr1	65	107	108
Cxcr2	chr1	3	4	30
Cxcr1	chr1	2	3	6
Mir1928	chr1	0	9	9
Arpc2	chr1	140	155	159
Gpbar1	chr1	0	0	0
Aamp	chr1	182	189	189
Pnkd	chr1	179	190	191
Tmbim1	chr1	92	107	152
Catip	chr1	45	48	89
Slc11a1	chr1	31	31	146
Ctdsp1	chr1	134	139	162
Mir26b	chr1	0	0	0
Vil1	chr1	0	10	64
Usp37	chr1	170	182	182
Rqcd1	chr1	166	182	182
Plcd4	chr1	0	0	1
Zfp142	chr1	178	191	191
Bcs1l	chr1	185	191	191
Rnf25	chr1	128	134	134
Stk36	chr1	128	134	135
Ttll4	chr1	156	164	164
Cyp27a1	chr1	8	39	52
Prkag3	chr1	36	39	47
Wnt6	chr1	0	5	131
Wnt10a	chr1	2	15	110
Cdk5r2	chr1	56	102	103
Fev	chr1	1	6	34
Cryba2	chr1	3	14	16
Mir375	chr1	2	37	37
Ccdc108	chr1	0	0	38
Ihh	chr1	0	0	48
Nhej1	chr1	131	164	166
Slc23a3	chr1	2	2	164
Cnppd1	chr1	73	154	154
Fam134a	chr1	140	154	154
Zfand2b	chr1	168	175	175
Abcb6	chr1	152	155	155
Atg9a	chr1	184	186	187
Ankzf1	chr1	176	186	186
Glb1l	chr1	134	136	136
Stk16	chr1	134	136	138
Tuba4a	chr1	143	145	145
A630095N17Rik	chr1	4	12	147
Dnajb2	chr1	139	145	145
Ptprn	chr1	22	57	144
Resp18	chr1	8	10	10
Dnpep	chr1	187	191	191
Des	chr1	7	8	10
Gm15179	chr1	0	0	16
Speg	chr1	41	56	107
Gmppa	chr1	123	129	132
Asic4	chr1	20	29	93
Chpf	chr1	157	159	160
Tmem198	chr1	153	159	159
Obsl1	chr1	30	56	127
Inha	chr1	0	49	49
Stk11ip	chr1	155	163	166
Slc4a3	chr1	19	53	137
Gm17751	chr1	0	10	11
Mir6343	chr1	0	0	0
Mir6352	chr1	1	7	7
Epha4	chr1	56	69	102
Pax3	chr1	11	20	40
Sgpp2	chr1	4	8	25
Farsb	chr1	157	175	175
Mogat1	chr1	0	13	144
Acsl3	chr1	182	182	183
Utp14b	chr1	182	182	182
Kcne4	chr1	0	1	3
Scg2	chr1	60	61	61
Ap1s3	chr1	165	173	175
Wdfy1	chr1	154	162	165
Mrpl44	chr1	165	169	169
Serpine2	chr1	62	79	146
Fam124b	chr1	52	52	57
Cul3	chr1	131	192	192
1700016L21Rik	chr1	0	0	73
Dock10	chr1	114	125	151
Nyap2	chr1	21	43	91
Mir6344	chr1	0	0	0
Irs1	chr1	108	133	179
Rhbdd1	chr1	181	185	186
Col4a4	chr1	20	25	61
Col4a3	chr1	21	25	113
Mff	chr1	175	182	182
Tm4sf20	chr1	0	0	39
Agfg1	chr1	163	167	167
Slc19a3	chr1	18	25	26
Krtap28-13	chr1	0	0	0
Ccl20	chr1	1	1	7
Daw1	chr1	47	48	54
Sphkap	chr1	25	29	42
Mir6353	chr1	10	36	36
Pid1	chr1	59	68	125
Mir5126	chr1	37	87	87
Dner	chr1	42	81	139
Trip12	chr1	102	169	169
Fbxo36	chr1	121	169	170
Slc16a14	chr1	20	52	71
A530032D15Rik	chr1	0	4	22
Gm7609	chr1	0	0	0
C130026I21Rik	chr1	0	0	0
Sp110	chr1	69	70	98
Sp140	chr1	60	91	93
Sp100	chr1	59	66	161
A630001G21Rik	chr1	98	118	173
Mir8096	chr1	62	94	94
9930111H07Rik	chr1	19	21	44
Cab39	chr1	136	143	148
Itm2c	chr1	102	130	142
4933407L21Rik	chr1	4	6	6
Gpr55	chr1	36	38	53
Spata3	chr1	18	28	28
2810459M11Rik	chr1	5	56	75
Psmd1	chr1	112	131	135
Htr2b	chr1	2	18	19
Armc9	chr1	169	172	175
B3gnt7	chr1	50	64	67
Snora75	chr1	0	0	0
Gm24148	chr1	0	0	0
Snord82	chr1	0	0	0
Ncl	chr1	185	188	188
C130036L24Rik	chr1	186	188	188
Nmur1	chr1	0	3	5
1700019O17Rik	chr1	0	3	3
Ptma	chr1	146	171	171
Pde6d	chr1	150	182	182
Cops7b	chr1	8	16	28
Nppc	chr1	35	59	59
Dis3l2	chr1	126	139	159
Alppl2	chr1	0	0	0
Alpi	chr1	0	0	39
Akp3	chr1	0	0	1
Ecel1	chr1	1	1	20
Prss56	chr1	0	1	63
Chrnd	chr1	14	15	18
Chrng	chr1	1	9	10
Eif4e2	chr1	155	156	157
Efhd1	chr1	4	14	44
Gigyf2	chr1	141	159	159
Kcnj13	chr1	0	0	1
3110079O15Rik	chr1	0	0	5
Ngef	chr1	16	37	79
Neu2	chr1	6	28	48
Inpp5d	chr1	89	102	125
Atg16l1	chr1	162	164	166
Scarna6	chr1	0	4	4
Sag	chr1	0	1	92
Dgkd	chr1	105	116	146
Usp40	chr1	103	117	120
Ugt1a10	chr1	0	0	129
Ugt1a9	chr1	0	0	129
Ugt1a7c	chr1	43	52	128
Ugt1a6b	chr1	18	21	119
Ugt1a6a	chr1	23	29	118
Ugt1a5	chr1	0	0	96
Ugt1a2	chr1	0	0	96
Dnajb3	chr1	69	73	73
Ugt1a1	chr1	16	19	33
Mroh2a	chr1	0	27	119
6430706D22Rik	chr1	0	3	87
A730008H23Rik	chr1	193	193	193
Hjurp	chr1	193	193	193
Trpm8	chr1	0	0	29
Spp2	chr1	0	0	47
Glrp1	chr1	42	45	59
Gm19589	chr1	0	0	95
Arl4c	chr1	92	111	111
Platr5	chr1	0	1	1
1700067G17Rik	chr1	9	30	44
Sh3bp4	chr1	129	169	174
C030007H22Rik	chr1	0	0	24
Agap1	chr1	107	115	153
4933400F21Rik	chr1	0	0	1
Gbx2	chr1	34	39	42
Asb18	chr1	0	0	5
Iqca	chr1	47	60	75
Ackr3	chr1	42	43	47
Cops8	chr1	143	144	144
Col6a3	chr1	0	0	11
Mlph	chr1	18	19	44
Prlh	chr1	0	10	10
Rab17	chr1	29	39	43
Lrrfip1	chr1	87	167	171
Rbm44	chr1	3	7	21
Ramp1	chr1	42	93	126
Ube2f	chr1	160	172	172
Scly	chr1	163	171	171
Espnl	chr1	14	16	92
Klhl30	chr1	11	12	20
Fam132b	chr1	104	108	109
Ilkap	chr1	134	140	140
1700020N18Rik	chr1	12	31	33
Hes6	chr1	169	175	175
Per2	chr1	163	178	180
Traf3ip1	chr1	149	149	150
Asb1	chr1	176	178	178
Twist2	chr1	2	2	11
Hdac4	chr1	180	193	193
Mir6900	chr1	0	0	0
Ndufa10	chr1	144	153	153
Olfr1416	chr1	0	0	0
Olfr1415	chr1	0	0	0
Olfr1414	chr1	0	0	22
Olfr1413	chr1	0	0	0
Olfr1412	chr1	0	0	0
Olfr1411	chr1	0	0	0
Olfr1410	chr1	0	0	0
Olfr12	chr1	0	0	0
Myeov2	chr1	148	148	148
Otos	chr1	55	101	101
Gpc1	chr1	69	93	110
Mir149	chr1	11	27	27
Ankmy1	chr1	1	3	81
Dusp28	chr1	141	149	149
Rnpepl1	chr1	84	90	115
Capn10	chr1	164	186	186
9430060I03Rik	chr1	0	3	186
Gpr35	chr1	49	66	66
Aqp12	chr1	0	0	3
Kif1a	chr1	35	41	110
Agxt	chr1	0	0	8
2310007B03Rik	chr1	2	3	6
Crocc2	chr1	3	4	88
Sned1	chr1	90	106	109
Mir6901	chr1	0	0	0
Mterf4	chr1	145	146	146
Pask	chr1	171	187	187
Ppp1r7	chr1	174	187	188
Mir6902	chr1	0	0	0
Mir6345	chr1	0	0	0
Ano7	chr1	0	4	80
Hdlbp	chr1	172	184	184
Sept2	chr1	171	184	184
Farp2	chr1	166	176	178
Stk25	chr1	185	188	188
Bok	chr1	24	63	91
Thap4	chr1	149	158	161
Atg4b	chr1	145	158	158
Dtymk	chr1	154	155	155
Ing5	chr1	176	183	183
D2hgdh	chr1	165	180	180
Gal3st2	chr1	0	0	0
Gm9994	chr1	0	0	0
Gm6086	chr1	0	0	30
Neu4	chr1	0	0	14
Pdcd1	chr1	22	46	67
4930440C22Rik	chr1	0	3	4
Fam174a	chr1	178	182	188
St8sia4	chr1	183	184	185
4930598F16Rik	chr1	0	0	9
1700063A18Rik	chr1	0	0	5
4930533P14Rik	chr1	0	0	9
Panct2	chr1	2	112	133
Slco4c1	chr1	119	128	138
Slco6b1	chr1	0	0	5
Slco6c1	chr1	0	0	26
D1Ertd622e	chr1	155	171	179
Ppip5k2	chr1	185	189	189
Gin1	chr1	185	189	189
B230216N24Rik	chr1	51	54	79
Pam	chr1	158	163	179
1810006J02Rik	chr1	54	54	81
Slco6d1	chr1	0	0	30
Cntnap5b	chr1	2	34	104
Gm20268	chr1	0	0	0
Cdh20	chr1	13	53	99
Rnf152	chr1	105	122	131
Pign	chr1	188	190	191
2310035C23Rik	chr1	186	190	190
Tnfrsf11a	chr1	84	104	142
Zcchc2	chr1	185	186	187
Gm20753	chr1	193	193	193
Phlpp1	chr1	122	193	193
Mir3473f	chr1	0	13	13
Bcl2	chr1	146	155	177
Kdsr	chr1	189	192	192
Vps4b	chr1	183	185	185
Serpinb5	chr1	17	19	87
Serpinb12	chr1	13	39	79
Serpinb13	chr1	0	5	41
Serpinb3a	chr1	0	0	1
Serpinb3d	chr1	0	0	0
Serpinb3b	chr1	0	0	0
Serpinb3c	chr1	0	0	2
Serpinb11	chr1	0	0	59
Serpinb7	chr1	13	13	61
Serpinb2	chr1	26	32	65
Serpinb10	chr1	0	25	47
Serpinb8	chr1	66	69	74
D830032E09Rik	chr1	28	29	34
Cdh7	chr1	23	26	29
Cdh19	chr1	0	0	22
Dsel	chr1	188	188	188
Cntnap5a	chr1	3	25	72
Tsn	chr1	150	179	179
Nifk	chr1	161	165	165
Clasp1	chr1	155	178	191
2900060B14Rik	chr1	163	185	185
Tfcp2l1	chr1	135	144	151
Mir6346	chr1	0	16	16
Gli2	chr1	22	24	88
Inhbb	chr1	6	39	45
Ralb	chr1	185	188	188
Tmem185b	chr1	170	174	174
3830432H09Rik	chr1	1	2	42
Epb41l5	chr1	142	169	170
Ptpn4	chr1	69	193	193
Tmem177	chr1	181	181	181
Cfap221	chr1	0	0	70
Sctr	chr1	0	8	124
Tmem37	chr1	87	91	91
Dbi	chr1	181	185	185
3110009E18Rik	chr1	174	185	185
Steap3	chr1	166	169	169
C1ql2	chr1	1	1	5
Marco	chr1	1	4	30
En1	chr1	2	26	33
Celrr	chr1	4	5	30
Insig2	chr1	185	188	188
Ccdc93	chr1	164	169	170
Htr5b	chr1	19	34	64
Ddx18	chr1	172	178	178
Dpp10	chr1	5	39	99
Actr3	chr1	187	192	192
Slc35f5	chr1	163	190	190
Gpr39	chr1	24	28	91
Lypd1	chr1	16	49	54
Nckap5	chr1	24	47	168
Mgat5	chr1	151	160	181
Tmem163	chr1	67	100	150
Acmsd	chr1	0	1	36
2900009J06Rik	chr1	185	187	187
Ccnt2	chr1	177	187	187
Map3k19	chr1	0	0	105
Rab3gap1	chr1	165	176	176
Zranb3	chr1	191	193	193
R3hdm1	chr1	176	193	193
Mir128-1	chr1	0	0	0
Ubxn4	chr1	185	187	187
Lct	chr1	0	8	61
Mcm6	chr1	178	180	180
Dars	chr1	159	172	176
Cxcr4	chr1	98	125	127
Thsd7b	chr1	16	27	162
Cd55b	chr1	41	48	59
Cd55	chr1	156	168	168
Zp3r	chr1	0	6	43
C4bp	chr1	0	5	17
C4bp-ps1	chr1	0	0	0
Pfkfb2	chr1	182	185	186
Yod1	chr1	97	119	119
AA986860	chr1	39	42	88
Fcamr	chr1	0	0	26
Pigr	chr1	4	4	51
Fcmr	chr1	9	10	77
Il24	chr1	0	5	6
Il20	chr1	0	5	5
Il19	chr1	0	0	12
Il10	chr1	3	12	79
Mapkapk2	chr1	147	156	165
Dyrk3	chr1	153	163	163
Eif2d	chr1	151	153	161
Rassf5	chr1	122	129	156
Ikbke	chr1	40	61	108
Srgap2	chr1	165	193	193
Fam72a	chr1	153	193	193
Avpr1b	chr1	0	0	10
Ctse	chr1	90	99	132
Rab7b	chr1	20	20	95
Slc26a9	chr1	1	1	81
Pm20d1	chr1	12	15	21
Slc41a1	chr1	162	173	173
Rab29	chr1	145	147	147
Nucks1	chr1	163	166	166
Slc45a3	chr1	3	36	97
Elk4	chr1	110	152	158
Mfsd4	chr1	36	56	105
Cdk18	chr1	67	79	112
Lemd1	chr1	0	21	80
Mir135b	chr1	0	0	0
Klhdc8a	chr1	42	68	73
Nuak2	chr1	117	122	140
Tmcc2	chr1	67	107	136
Dstyk	chr1	168	175	175
Rbbp5	chr1	104	119	119
Tmem81	chr1	0	0	0
Cntn2	chr1	7	11	65
Nfasc	chr1	16	20	75
Gm10538	chr1	0	0	0
Lrrn2	chr1	13	27	51
Mdm4	chr1	138	149	150
Pik3c2b	chr1	104	122	142
Ppp1r15b	chr1	180	183	183
Plekha6	chr1	3	12	66
Gm19461	chr1	0	3	29
Golt1a	chr1	0	0	31
Kiss1	chr1	0	2	2
Ren2	chr1	0	0	41
Ren1	chr1	0	0	41
Etnk2	chr1	98	104	104
Sox13	chr1	21	30	107
Snrpe	chr1	174	176	176
Zbed6	chr1	6	145	145
Zc3h11a	chr1	139	145	145
Lax1	chr1	58	59	79
Mir6903	chr1	0	0	0
Atp2b4	chr1	0	29	62
Optc	chr1	0	19	58
Prelp	chr1	3	6	33
Fmod	chr1	0	0	50
Btg2	chr1	157	161	161
Chit1	chr1	63	66	88
Chil1	chr1	3	4	35
Mybph	chr1	0	0	76
Adora1	chr1	4	4	34
Myog	chr1	0	4	4
Ppfia4	chr1	47	66	91
Tmem183a	chr1	149	154	154
4933406M09Rik	chr1	0	0	0
Cyb5r1	chr1	140	146	149
Adipor1	chr1	171	175	175
Klhl12	chr1	140	144	145
Rabif	chr1	166	170	170
Mgat4e	chr1	0	1	1
Kdm5b	chr1	30	61	75
Syt2	chr1	12	18	146
Ppp1r12b	chr1	174	182	182
Ube2t	chr1	153	153	153
Lgr6	chr1	18	52	115
Ptprv	chr1	107	110	119
Ptpn7	chr1	106	110	115
Arl8a	chr1	108	133	139
Gpr37l1	chr1	9	12	14
Elf3	chr1	38	120	120
Rnpep	chr1	103	122	133
Timm17a	chr1	168	172	172
Lmod1	chr1	1	1	74
Shisa4	chr1	35	45	45
Ipo9	chr1	142	146	148
Mir1231	chr1	0	0	0
Nav1	chr1	27	34	136
Csrp1	chr1	153	153	162
Phlda3	chr1	94	118	118
Tnni1	chr1	5	5	68
Lad1	chr1	14	45	66
Tnnt2	chr1	0	3	67
Pkp1	chr1	14	15	48
Igfn1	chr1	0	0	20
Tmem9	chr1	160	163	164
Ascl5	chr1	1	47	47
Cacna1s	chr1	0	1	98
Gm15850	chr1	117	140	144
Kif21b	chr1	133	140	160
5730559C18Rik	chr1	79	92	95
Gpr25	chr1	12	48	48
Camsap2	chr1	156	162	163
Ddx59	chr1	174	181	181
9230116N13Rik	chr1	163	181	181
