name2	chrom
Myoc	chr1
7420461P10Rik	chr1
Prrc2c	chr1
Fmo4	chr1
Fmo1	chr1
Fmo2	chr1
Fmo6	chr1
Fmo3	chr1
Mroh9	chr1
Prrx1	chr1
Gorab	chr1
Mettl11b	chr1
Kifap3	chr1
Scyl3	chr1
BC055324	chr1
Mettl18	chr1
Sele	chr1
Sell	chr1
Selp	chr1
F5	chr1
Gm16548	chr1
Slc19a2	chr1
Ccdc181	chr1
Blzf1	chr1
Nme7	chr1
Atp1b1	chr1
Dpt	chr1
Gm20743	chr1
Xcl1	chr1
4930568G15Rik	chr1
Tbx19	chr1
Sft2d2	chr1
Tiprl	chr1
Gpr161	chr1
Dcaf6	chr1
Mpc2	chr1
Adcy10	chr1
Mpzl1	chr1
Rcsd1	chr1
Creg1	chr1
Cd247	chr1
Pou2f1	chr1
Dusp27	chr1
Gpa33	chr1
Mael	chr1
Ildr2	chr1
Tada1	chr1
Pogk	chr1
Gm4846	chr1
Gm4847	chr1
Fmo9	chr1
Gm16701	chr1
Fam78b	chr1
Uck2	chr1
Mir6347	chr1
Tmco1	chr1
Aldh9a1	chr1
Mgst3	chr1
Lrrc52	chr1
Rxrg	chr1
Lmx1a	chr1
Pbx1	chr1
Mir6348	chr1
Mir6354	chr1
Nuf2	chr1
Rgs5	chr1
Rgs4	chr1
Ccdc190	chr1
Hsd17b7	chr1
3110045C21Rik	chr1
Ddr2	chr1
Uap1	chr1
Uhmk1	chr1
Sh2d1b2	chr1
Sh2d1b1	chr1
Gm7694	chr1
1700015E13Rik	chr1
Nos1ap	chr1
Olfml2b	chr1
Atf6	chr1
Dusp12	chr1
Fcrlb	chr1
Fcrla	chr1
Fcgr2b	chr1
Fcgr4	chr1
Fcgr3	chr1
Mir6546	chr1
Cfap126	chr1
Sdhc	chr1
Mpz	chr1
Pcp4l1	chr1
Nr1i3	chr1
Apoa2	chr1
Tomm40l	chr1
Fcer1g	chr1
Ndufs2	chr1
Adamts4	chr1
B4galt3	chr1
Ppox	chr1
Usp21	chr1
Ufc1	chr1
Dedd	chr1
Nit1	chr1
Pfdn2	chr1
Klhdc9	chr1
Pvrl4	chr1
Arhgap30	chr1
Usf1	chr1
Tstd1	chr1
F11r	chr1
Alyref2	chr1
Itln1	chr1
Cd244	chr1
Ly9	chr1
Mir7683	chr1
Slamf7	chr1
Cd48	chr1
Slamf1	chr1
Cd84	chr1
Slamf6	chr1
Vangl2	chr1
Nhlh1	chr1
Copa	chr1
Ncstn	chr1
Pex19	chr1
Dcaf8	chr1
Pea15a	chr1
Casq1	chr1
Atp1a4	chr1
Atp1a2	chr1
Igsf8	chr1
Kcnj9	chr1
Kcnj10	chr1
Pigm	chr1
Slamf9	chr1
Igsf9	chr1
Tagln2	chr1
Cfap45	chr1
4933439K11Rik	chr1
Vsig8	chr1
Slamf8	chr1
Fcrl6	chr1
Dusp23	chr1
Crp	chr1
Apcs	chr1
Olfr16	chr1
Olfr1408	chr1
Olfr1406	chr1
Olfr218	chr1
Olfr1404	chr1
Fcer1a	chr1
Olfr418	chr1
Mptx2	chr1
Ackr1	chr1
Cadm3	chr1
Aim2	chr1
BC094916	chr1
Pydc4	chr1
Pyhin1	chr1
Pydc3	chr1
AI607873	chr1
Ifi204	chr1
Mndal	chr1
Mnda	chr1
Ifi203	chr1
Ifi202b	chr1
Ifi205	chr1
Olfr433	chr1
Olfr432	chr1
Olfr430	chr1
Olfr429	chr1
Olfr426	chr1
Olfr427	chr1
Olfr231	chr1
Olfr424	chr1
Olfr421-ps1	chr1
Olfr420	chr1
Spta1	chr1
Olfr419	chr1
Mptx1	chr1
Olfr417	chr1
Olfr248	chr1
Olfr414	chr1
Olfr220	chr1
Fmn2	chr1
Grem2	chr1
Rgs7	chr1
Fh1	chr1
Kmo	chr1
Chml	chr1
Opn3	chr1
Wdr64	chr1
Exo1	chr1
Becn2	chr1
Pld5	chr1
Mir350	chr1
Cep170	chr1
Sdccag8	chr1
Hmga2-ps1	chr1
Akt3	chr1
Zbtb18	chr1
2310043L19Rik	chr1
1700016C15Rik	chr1
Adss	chr1
Gm16432	chr1
Desi2	chr1
Cox20	chr1
Hnrnpu	chr1
Efcab2	chr1
Kif26b	chr1
Smyd3	chr1
Tfb2m	chr1
Cnst	chr1
Sccpdh	chr1
Ahctf1	chr1
Cdc42bpa	chr1
Adck3	chr1
Psen2	chr1
Itpkb	chr1
Gm5069	chr1
6330403A02Rik	chr1
Parp1	chr1
Mir6904	chr1
Lin9	chr1
Mixl1	chr1
Acbd3	chr1
H3f3a	chr1
Sde2	chr1
Lefty2	chr1
Pycr2	chr1
Lefty1	chr1
Tmem63a	chr1
Ephx1	chr1
9130409I23Rik	chr1
Nvl	chr1
Cnih4	chr1
Wdr26	chr1
Cnih3	chr1
Ccdc121	chr1
Lbr	chr1
Enah	chr1
Srp9	chr1
Vmn1r1	chr1
Degs1	chr1
1700047M11Rik	chr1
Fbxo28	chr1
Trp53bp2	chr1
Capn2	chr1
Capn8	chr1
Ccdc185	chr1
Susd4	chr1
Tlr5	chr1
1700056E22Rik	chr1
Dusp10	chr1
1700112H15Rik	chr1
4930488B22Rik	chr1
Hlx	chr1
Marc1	chr1
Mir1981	chr1
Marc2	chr1
C130074G19Rik	chr1
Mark1	chr1
Rab3gap2	chr1
Snora36b	chr1
Mir664	chr1
Mir194-1	chr1
Mir215	chr1
Iars2	chr1
Bpnt1	chr1
Eprs	chr1
9630028B13Rik	chr1
Slc30a10	chr1
Gm2061	chr1
5033404E19Rik	chr1
Lyplal1	chr1
A730004F24Rik	chr1
Tgfb2	chr1
Rrp15	chr1
D1Pas1	chr1
1700007P06Rik	chr1
Spata17	chr1
Gpatch2	chr1
Esrrg	chr1
9330162B11Rik	chr1
Ush2a	chr1
Kctd3	chr1
Kcnk2	chr1
Cenpf	chr1
Ptpn14	chr1
Smyd2	chr1
Prox1	chr1
Rps6kc1	chr1
Angel2	chr1
Vash2	chr1
A230020J21Rik	chr1
Mfsd7b	chr1
Spata45	chr1
Tatdn3	chr1
Nsl1	chr1
Batf3	chr1
Fam71a	chr1
Atf3	chr1
Nenf	chr1
Tmem206	chr1
Ppp2r5a	chr1
Dtl	chr1
Ints7	chr1
Lpgat1	chr1
Nek2	chr1
Slc30a1	chr1
1700034H15Rik	chr1
Rd3	chr1
Mir3473c	chr1
Traf5	chr1
Gm10516	chr1
Rcor3	chr1
Kcnh1	chr1
Hhat	chr1
1700065J18Rik	chr1
Sertad4	chr1
Gm15867	chr1
Syt14	chr1
Diexf	chr1
Irf6	chr1
A130010J15Rik	chr1
Traf3ip3	chr1
Hsd11b1	chr1
G0s2	chr1
Lamb3	chr1
Camk1g	chr1
Mir205	chr1
4930503O07Rik	chr1
Plxna2	chr1
Mir3962	chr1
Cd34	chr1
Gm16897	chr1
A330023F24Rik	chr1
Mir29b-2	chr1
Mir29c	chr1
Cd46	chr1
Cr1l	chr1
Cr2	chr1
Fam171a1	chr2
Nmt2	chr2
Rpp38	chr2
Acbd7	chr2
Olah	chr2
Meig1	chr2
Dclre1c	chr2
Suv39h2	chr2
Hspa14	chr2
Cdnf	chr2
Fam107b	chr2
1700080N15Rik	chr2
