name2	chrom	tss_samples	tss1k_samples	gene1k_samples
Kansl3	chr1	144	148	148
Fer1l5	chr1	0	0	20
Lman2l	chr1	174	177	178
Cnnm4	chr1	151	160	164
Cnnm3	chr1	173	179	179
Ankrd23	chr1	1	16	37
Ankrd39	chr1	171	183	183
Sema4c	chr1	99	129	132
Fam178b	chr1	3	83	156
Cox5b	chr1	170	170	170
Actr1b	chr1	174	182	182
4933424G06Rik	chr1	0	0	110
Zap70	chr1	59	64	80
Tmem131	chr1	134	169	179
Cnga3	chr1	0	12	56
Inpp4a	chr1	143	153	167
Coa5	chr1	176	178	179
Unc50	chr1	174	178	178
4930594C11Rik	chr1	0	11	51
Mgat4a	chr1	151	173	179
2010300C02Rik	chr1	45	66	156
Tsga10	chr1	192	192	192
Lipt1	chr1	146	153	153
Mitd1	chr1	150	155	155
Mrpl30	chr1	135	155	155
Lyg2	chr1	0	0	14
Lyg1	chr1	0	0	0
Txndc9	chr1	182	187	187
Eif5b	chr1	178	187	187
Rev1	chr1	131	172	173
Aff3	chr1	48	77	173
Lonrf2	chr1	0	0	13
Chst10	chr1	97	116	119
Nms	chr1	0	0	3
Pdcl3	chr1	168	179	179
Mir6349	chr1	1	5	5
Npas2	chr1	21	34	103
Rpl31	chr1	170	175	175
Tbc1d8	chr1	157	166	176
Cnot11	chr1	165	172	172
Snord89	chr1	18	18	18
Rnf149	chr1	163	172	173
Creg2	chr1	34	77	107
Rfx8	chr1	19	26	104
Gm3646	chr1	16	35	35
1700066B17Rik	chr1	46	50	74
Map4k4	chr1	115	126	175
Il1r2	chr1	41	95	126
Gm16894	chr1	76	91	119
Il1r1	chr1	85	89	147
Il1rl2	chr1	52	71	103
Il1rl1	chr1	24	30	103
Il18r1	chr1	54	56	95
Il18rap	chr1	69	70	90
Slc9a4	chr1	1	8	90
Slc9a2	chr1	83	107	118
Mfsd9	chr1	159	165	165
Tmem182	chr1	5	11	73
4930448I06Rik	chr1	0	0	1
Pantr1	chr1	0	13	29
Pou3f3	chr1	0	11	15
2900092D14Rik	chr1	0	0	1
Pantr2	chr1	19	42	48
Dalir	chr1	0	0	0
Mrps9	chr1	189	191	191
Gpr45	chr1	51	76	91
Tgfbrap1	chr1	186	186	186
AI597479	chr1	184	186	186
Fhl2	chr1	128	133	168
Nck2	chr1	146	167	184
1500015O10Rik	chr1	11	17	24
Uxs1	chr1	183	191	191
Tpp2	chr1	190	191	191
Mettl21c	chr1	0	1	6
Tex30	chr1	191	191	191
Kdelc1	chr1	177	187	187
Bivm	chr1	140	185	185
Ercc5	chr1	181	189	189
Mettl21e	chr1	0	1	3
Gulp1	chr1	45	54	69
4930521E06Rik	chr1	0	0	0
Col3a1	chr1	2	2	29
Col5a2	chr1	5	10	40
Wdr75	chr1	189	191	191
Slc40a1	chr1	120	142	142
Stk-ps2	chr1	0	0	27
Dnah7b	chr1	53	54	71
Dnah7c	chr1	51	60	74
Slc39a10	chr1	191	193	193
Mir6350	chr1	0	1	1
Tmeff2	chr1	137	143	146
Sdpr	chr1	36	53	56
9330175M20Rik	chr1	41	123	125
Nabp1	chr1	193	193	193
Myo1b	chr1	96	118	144
Stat4	chr1	2	81	163
Stat1	chr1	178	178	181
Gls	chr1	193	193	193
Nab1	chr1	154	165	175
Tmem194b	chr1	180	184	184
Mfsd6	chr1	114	156	177
Inpp1	chr1	157	180	181
Hibch	chr1	193	193	193
1700019D03Rik	chr1	106	138	139
Mstn	chr1	1	6	6
1700019A02Rik	chr1	0	3	14
Pms1	chr1	193	193	193
Ormdl1	chr1	193	193	193
Osgepl1	chr1	173	174	175
Asnsd1	chr1	186	187	187
Dnah7a	chr1	98	101	112
Stk17b	chr1	180	188	188
Mir7681	chr1	0	2	2
Hecw2	chr1	54	78	168
Ccdc150	chr1	191	193	193
Gtf3c3	chr1	171	172	173
Pgap1	chr1	158	163	165
Ankrd44	chr1	161	163	176
Sf3b1	chr1	177	178	179
Coq10b	chr1	192	192	192
Hspd1	chr1	176	191	191
Hspe1	chr1	189	191	191
Mob4	chr1	180	186	188
Rftn2	chr1	18	30	149
Mars2	chr1	182	184	184
Boll	chr1	124	148	150
Plcl1	chr1	155	161	166
9130227L01Rik	chr1	0	0	47
1700003I22Rik	chr1	1	5	5
Hsfy2	chr1	0	0	0
Satb2	chr1	3	96	132
9130024F11Rik	chr1	4	112	140
BC055402	chr1	0	1	47
4930558J18Rik	chr1	183	185	185
1700066M21Rik	chr1	183	185	185
9430016H08Rik	chr1	162	172	172
Tyw5	chr1	166	172	178
Spats2l	chr1	68	80	111
Kctd18	chr1	175	177	177
Sgol2a	chr1	181	186	186
Aox1	chr1	92	138	157
Aox3	chr1	20	29	86
Aox4	chr1	36	39	73
Aox2	chr1	0	0	133
Bzw1	chr1	164	172	172
Clk1	chr1	157	166	166
Ppil3	chr1	177	181	181
Nif3l1	chr1	0	0	46
Orc2	chr1	184	189	189
Fam126b	chr1	166	173	176
Ndufb3	chr1	169	173	173
Gm20257	chr1	128	133	133
Als2cr12	chr1	0	2	70
Cflar	chr1	125	166	168
Casp8	chr1	135	161	163
Trak2	chr1	179	184	184
Stradb	chr1	182	184	184
Als2cr11	chr1	0	0	32
Tmem237	chr1	176	180	181
Mpp4	chr1	21	53	183
Als2	chr1	169	175	177
Cdk15	chr1	23	23	91
Fzd7	chr1	165	172	172
Gm973	chr1	14	17	153
Sumo1	chr1	156	160	161
Nop58	chr1	168	173	175
Snord70	chr1	0	1	1
Snord11	chr1	0	8	8
Bmpr2	chr1	55	176	178
Fam117b	chr1	184	187	188
Ica1l	chr1	106	121	146
Wdr12	chr1	185	185	185
Carf	chr1	180	185	185
Nbeal1	chr1	182	191	191
Cyp20a1	chr1	180	183	185
Abi2	chr1	170	178	181
Raph1	chr1	168	174	175
Cd28	chr1	84	91	93
Ctla4	chr1	29	29	107
Icos	chr1	46	49	83
9530026F06Rik	chr1	0	16	21
Pard3b	chr1	114	123	177
Nrp2	chr1	134	139	171
4930487H11Rik	chr1	13	68	68
Ino80d	chr1	117	164	169
Ino80dos	chr1	157	164	176
Ndufs1	chr1	161	166	166
Eef1b2	chr1	161	166	177
Snora41	chr1	0	1	2
Zdbf2	chr1	21	28	66
Gpr1	chr1	0	2	46
Adam23	chr1	5	8	49
Dytn	chr1	0	0	87
Mdh1b	chr1	104	161	161
Fastkd2	chr1	159	161	161
4933402D24Rik	chr1	0	0	41
Gm13749	chr1	0	0	1
Mir6899	chr1	0	10	12
Klf7	chr1	53	192	192
Creb1	chr1	190	192	192
Mettl21a	chr1	174	181	181
2810408I11Rik	chr1	185	192	192
Ccnyl1	chr1	71	192	192
Fzd5	chr1	180	185	185
Plekhm3	chr1	158	162	186
Akr1cl	chr1	0	0	12
Cryge	chr1	0	1	16
Crygd	chr1	0	0	0
Crygc	chr1	0	0	0
Crygb	chr1	0	0	0
Cryga	chr1	1	2	2
D630023F18Rik	chr1	17	19	118
Idh1	chr1	187	192	192
Pikfyve	chr1	190	190	190
Pth2r	chr1	4	12	42
Crygf	chr1	4	21	21
Map2	chr1	129	139	155
Unc80	chr1	47	69	136
Rpe	chr1	189	190	190
Kansl1l	chr1	175	186	189
Acadl	chr1	150	175	175
Myl1	chr1	2	3	40
Lancl1	chr1	177	180	181
Cps1	chr1	0	0	71
Erbb4	chr1	21	45	132
Ikzf2	chr1	0	19	131
Spag16	chr1	44	52	124
Vwc2l	chr1	35	36	89
Bard1	chr1	191	192	192
Abca12	chr1	2	8	65
Atic	chr1	189	191	191
Fn1	chr1	116	127	131
Apol7d	chr1	111	127	127
Gm8883	chr1	8	9	9
4933417E11Rik	chr1	0	0	68
Mreg	chr1	115	121	147
Pecr	chr1	174	177	177
Tmem169	chr1	173	177	178
Xrcc5	chr1	171	172	178
March4	chr1	29	64	125
Smarcal1	chr1	189	190	190
Ankar	chr1	0	2	26
Rpl37a	chr1	156	160	160
Igfbp2	chr1	11	27	32
Igfbp5	chr1	3	12	117
Tnp1	chr1	0	0	0
1700027A15Rik	chr1	0	3	12
D530049I02Rik	chr1	0	0	6
Pinc	chr1	0	0	12
Mir6351	chr1	0	0	0
6030407O03Rik	chr1	0	1	95
Tns1	chr1	71	126	174
Rufy4	chr1	72	126	128
Cxcr2	chr1	4	8	38
Cxcr1	chr1	3	5	9
Mir1928	chr1	8	18	18
Arpc2	chr1	157	171	172
Gpbar1	chr1	0	1	1
Aamp	chr1	188	192	192
Pnkd	chr1	191	193	193
Tmbim1	chr1	102	121	164
Catip	chr1	53	55	100
Slc11a1	chr1	34	34	159
Ctdsp1	chr1	147	150	176
Mir26b	chr1	0	0	0
Vil1	chr1	2	18	85
Usp37	chr1	185	190	190
Rqcd1	chr1	180	190	190
Plcd4	chr1	1	1	6
Zfp142	chr1	183	192	192
Bcs1l	chr1	188	192	192
Rnf25	chr1	148	149	149
Stk36	chr1	145	149	151
Ttll4	chr1	170	176	177
Cyp27a1	chr1	37	63	76
Prkag3	chr1	43	46	58
Wnt6	chr1	4	19	151
Wnt10a	chr1	2	17	125
Cdk5r2	chr1	69	117	120
Fev	chr1	6	11	48
Cryba2	chr1	6	25	26
Mir375	chr1	14	54	54
Ccdc108	chr1	0	1	57
Ihh	chr1	3	4	66
Nhej1	chr1	140	177	178
Slc23a3	chr1	2	4	178
Cnppd1	chr1	138	168	168
Fam134a	chr1	159	168	168
Zfand2b	chr1	188	191	191
Abcb6	chr1	165	169	169
Atg9a	chr1	188	188	190
Ankzf1	chr1	183	188	188
Glb1l	chr1	143	145	145
Stk16	chr1	143	145	147
Tuba4a	chr1	162	163	163
A630095N17Rik	chr1	5	17	166
Dnajb2	chr1	156	158	158
Ptprn	chr1	33	76	151
Resp18	chr1	12	17	17
Dnpep	chr1	192	193	193
Des	chr1	11	12	16
Gm15179	chr1	0	0	29
Speg	chr1	56	76	126
Gmppa	chr1	134	141	143
Asic4	chr1	31	41	118
Chpf	chr1	174	176	176
Tmem198	chr1	170	176	176
Obsl1	chr1	57	70	146
Inha	chr1	0	67	67
Stk11ip	chr1	168	174	178
Slc4a3	chr1	31	68	152
Gm17751	chr1	2	18	19
Mir6343	chr1	0	0	0
Mir6352	chr1	3	9	9
Epha4	chr1	78	94	121
Pax3	chr1	30	37	58
Sgpp2	chr1	10	13	39
Farsb	chr1	181	185	186
Mogat1	chr1	1	16	156
Acsl3	chr1	185	187	189
Utp14b	chr1	186	187	187
Kcne4	chr1	0	1	5
Scg2	chr1	63	64	64
Ap1s3	chr1	177	183	185
Wdfy1	chr1	165	170	172
Mrpl44	chr1	175	179	179
Serpine2	chr1	87	108	161
Fam124b	chr1	53	54	63
Cul3	chr1	154	193	193
1700016L21Rik	chr1	0	0	82
Dock10	chr1	126	143	160
Nyap2	chr1	29	52	100
Mir6344	chr1	0	0	0
Irs1	chr1	142	151	186
Rhbdd1	chr1	190	190	190
Col4a4	chr1	30	38	88
Col4a3	chr1	30	38	123
Mff	chr1	182	186	186
Tm4sf20	chr1	0	0	46
Agfg1	chr1	175	181	181
Slc19a3	chr1	24	29	31
Krtap28-13	chr1	0	0	0
Ccl20	chr1	2	2	9
Daw1	chr1	56	57	67
Sphkap	chr1	32	36	50
Mir6353	chr1	15	49	49
Pid1	chr1	72	82	138
Mir5126	chr1	69	100	100
Dner	chr1	47	99	147
Trip12	chr1	138	185	185
Fbxo36	chr1	165	185	185
Slc16a14	chr1	47	64	85
A530032D15Rik	chr1	0	6	23
Gm7609	chr1	0	0	2
C130026I21Rik	chr1	0	0	1
Sp110	chr1	72	73	102
Sp140	chr1	64	98	99
Sp100	chr1	66	74	168
A630001G21Rik	chr1	123	130	180
Mir8096	chr1	73	95	95
9930111H07Rik	chr1	22	25	47
Cab39	chr1	149	158	163
Itm2c	chr1	123	147	158
4933407L21Rik	chr1	6	8	8
Gpr55	chr1	43	45	61
Spata3	chr1	24	32	32
2810459M11Rik	chr1	12	76	87
Psmd1	chr1	137	143	146
Htr2b	chr1	3	19	20
Armc9	chr1	178	182	187
B3gnt7	chr1	67	89	91
Snora75	chr1	0	0	0
Gm24148	chr1	0	0	0
Snord82	chr1	0	0	0
Ncl	chr1	189	190	190
C130036L24Rik	chr1	188	190	190
Nmur1	chr1	1	8	10
1700019O17Rik	chr1	0	7	7
Ptma	chr1	152	177	177
Pde6d	chr1	170	188	188
Cops7b	chr1	19	28	42
Nppc	chr1	57	77	77
Dis3l2	chr1	150	155	173
Alppl2	chr1	0	0	1
Alpi	chr1	0	0	53
Akp3	chr1	0	0	3
Ecel1	chr1	6	6	23
Prss56	chr1	0	1	83
Chrnd	chr1	22	23	34
Chrng	chr1	2	12	13
Eif4e2	chr1	161	163	166
Efhd1	chr1	14	35	60
Gigyf2	chr1	163	172	172
Kcnj13	chr1	0	0	1
3110079O15Rik	chr1	0	0	10
Ngef	chr1	25	59	101
Neu2	chr1	13	40	60
Inpp5d	chr1	96	110	129
Atg16l1	chr1	171	173	175
Scarna6	chr1	0	4	4
Sag	chr1	0	1	95
Dgkd	chr1	127	137	165
Usp40	chr1	112	126	129
Ugt1a10	chr1	0	1	146
Ugt1a9	chr1	0	0	146
Ugt1a7c	chr1	54	60	145
Ugt1a6b	chr1	21	23	142
Ugt1a6a	chr1	28	34	142
Ugt1a5	chr1	0	0	123
Ugt1a2	chr1	0	1	123
Dnajb3	chr1	82	84	84
Ugt1a1	chr1	24	36	75
Mroh2a	chr1	1	32	142
6430706D22Rik	chr1	0	6	106
A730008H23Rik	chr1	193	193	193
Hjurp	chr1	193	193	193
Trpm8	chr1	0	2	48
Spp2	chr1	0	0	61
Glrp1	chr1	50	52	69
Gm19589	chr1	0	0	109
Arl4c	chr1	131	138	138
Platr5	chr1	1	1	2
1700067G17Rik	chr1	17	42	55
Sh3bp4	chr1	149	182	184
C030007H22Rik	chr1	0	0	29
Agap1	chr1	119	129	172
4933400F21Rik	chr1	0	0	4
Gbx2	chr1	45	49	52
Asb18	chr1	0	1	15
Iqca	chr1	60	78	96
Ackr3	chr1	54	56	62
Cops8	chr1	155	157	157
Col6a3	chr1	0	0	18
Mlph	chr1	22	23	64
Prlh	chr1	0	10	10
Rab17	chr1	37	43	48
Lrrfip1	chr1	146	184	187
Rbm44	chr1	7	14	29
Ramp1	chr1	82	104	135
Ube2f	chr1	168	179	179
Scly	chr1	175	180	180
Espnl	chr1	21	28	106
Klhl30	chr1	11	12	24
Fam132b	chr1	119	125	126
Ilkap	chr1	145	150	151
1700020N18Rik	chr1	25	57	58
Hes6	chr1	182	187	187
Per2	chr1	170	183	184
Traf3ip1	chr1	161	162	162
Asb1	chr1	180	183	183
Twist2	chr1	6	6	19
Hdac4	chr1	186	193	193
Mir6900	chr1	0	0	0
Ndufa10	chr1	154	165	165
Olfr1416	chr1	0	0	0
Olfr1415	chr1	0	0	0
Olfr1414	chr1	0	0	23
Olfr1413	chr1	0	0	0
Olfr1412	chr1	0	0	0
Olfr1411	chr1	0	0	0
Olfr1410	chr1	0	0	0
Olfr12	chr1	0	0	0
Myeov2	chr1	159	159	159
Otos	chr1	86	113	113
Gpc1	chr1	99	122	132
Mir149	chr1	15	35	35
Ankmy1	chr1	4	6	94
Dusp28	chr1	154	165	166
Rnpepl1	chr1	96	108	132
Capn10	chr1	173	191	191
9430060I03Rik	chr1	0	6	191
Gpr35	chr1	57	72	72
Aqp12	chr1	0	0	11
Kif1a	chr1	47	61	132
Agxt	chr1	0	1	11
2310007B03Rik	chr1	2	7	11
Crocc2	chr1	7	12	114
Sned1	chr1	115	127	130
Mir6901	chr1	0	0	0
Mterf4	chr1	156	156	156
Pask	chr1	184	190	190
Ppp1r7	chr1	179	190	190
Mir6902	chr1	0	0	0
Mir6345	chr1	0	0	0
Ano7	chr1	3	9	97
Hdlbp	chr1	182	191	191
Sept2	chr1	180	191	191
Farp2	chr1	176	184	185
Stk25	chr1	190	190	190
Bok	chr1	38	86	107
Thap4	chr1	167	177	178
Atg4b	chr1	161	177	177
Dtymk	chr1	161	163	163
Ing5	chr1	185	188	188
D2hgdh	chr1	179	188	188
Gal3st2	chr1	0	0	0
Gm9994	chr1	0	0	1
Gm6086	chr1	0	0	38
Neu4	chr1	0	0	21
Pdcd1	chr1	27	53	74
4930440C22Rik	chr1	0	3	9
Fam174a	chr1	183	185	189
St8sia4	chr1	186	186	186
4930598F16Rik	chr1	0	0	17
1700063A18Rik	chr1	0	0	9
4930533P14Rik	chr1	0	0	17
Panct2	chr1	13	133	146
Slco4c1	chr1	137	142	150
Slco6b1	chr1	0	0	10
Slco6c1	chr1	0	0	35
D1Ertd622e	chr1	174	181	186
Ppip5k2	chr1	193	193	193
Gin1	chr1	191	193	193
B230216N24Rik	chr1	55	59	86
Pam	chr1	172	176	184
1810006J02Rik	chr1	63	66	101
Slco6d1	chr1	0	1	37
Cntnap5b	chr1	13	45	121
Gm20268	chr1	0	0	1
Cdh20	chr1	34	67	120
Rnf152	chr1	132	138	147
Pign	chr1	191	193	193
2310035C23Rik	chr1	191	193	193
Tnfrsf11a	chr1	112	126	155
Zcchc2	chr1	192	192	193
Gm20753	chr1	193	193	193
Phlpp1	chr1	142	193	193
Mir3473f	chr1	0	16	16
Bcl2	chr1	167	169	184
Kdsr	chr1	193	193	193
Vps4b	chr1	188	189	189
Serpinb5	chr1	20	23	104
Serpinb12	chr1	19	52	91
Serpinb13	chr1	0	9	51
Serpinb3a	chr1	0	0	1
Serpinb3d	chr1	0	0	0
Serpinb3b	chr1	1	1	1
Serpinb3c	chr1	0	0	2
Serpinb11	chr1	0	0	70
Serpinb7	chr1	14	14	64
Serpinb2	chr1	28	33	68
Serpinb10	chr1	2	29	51
Serpinb8	chr1	77	80	83
D830032E09Rik	chr1	34	36	42
Cdh7	chr1	42	45	54
Cdh19	chr1	0	0	42
Dsel	chr1	189	190	190
Cntnap5a	chr1	18	39	93
Tsn	chr1	158	184	184
Nifk	chr1	171	172	172
Clasp1	chr1	182	190	193
2900060B14Rik	chr1	186	192	192
Tfcp2l1	chr1	154	161	166
Mir6346	chr1	0	19	20
Gli2	chr1	28	32	101
Inhbb	chr1	19	66	78
Ralb	chr1	188	190	190
Tmem185b	chr1	174	180	180
3830432H09Rik	chr1	1	3	44
Epb41l5	chr1	154	178	179
Ptpn4	chr1	113	193	193
Tmem177	chr1	185	185	185
Cfap221	chr1	0	0	80
Sctr	chr1	4	18	144
Tmem37	chr1	96	106	106
Dbi	chr1	188	189	189
3110009E18Rik	chr1	180	189	189
Steap3	chr1	175	176	176
C1ql2	chr1	3	7	15
Marco	chr1	1	6	39
En1	chr1	18	47	54
Celrr	chr1	5	6	46
Insig2	chr1	191	192	192
Ccdc93	chr1	174	180	180
Htr5b	chr1	36	50	80
Ddx18	chr1	183	184	184
Dpp10	chr1	44	57	122
Actr3	chr1	190	192	192
Slc35f5	chr1	177	193	193
Gpr39	chr1	33	38	103
Lypd1	chr1	45	65	74
Nckap5	chr1	35	59	180
Mgat5	chr1	169	178	186
Tmem163	chr1	92	126	163
Acmsd	chr1	1	2	53
2900009J06Rik	chr1	189	190	190
Ccnt2	chr1	183	190	190
Map3k19	chr1	0	0	124
Rab3gap1	chr1	177	181	181
Zranb3	chr1	193	193	193
R3hdm1	chr1	183	193	193
Mir128-1	chr1	0	0	0
Ubxn4	chr1	188	190	190
Lct	chr1	0	10	78
Mcm6	chr1	185	186	186
Dars	chr1	171	179	180
Cxcr4	chr1	115	149	149
Thsd7b	chr1	34	48	171
Cd55b	chr1	51	58	71
Cd55	chr1	172	177	177
Zp3r	chr1	0	6	47
C4bp	chr1	0	5	22
C4bp-ps1	chr1	0	0	0
Pfkfb2	chr1	189	191	192
Yod1	chr1	118	138	138
AA986860	chr1	42	48	98
Fcamr	chr1	0	0	45
Pigr	chr1	8	8	64
Fcmr	chr1	9	11	93
Il24	chr1	0	7	9
Il20	chr1	0	7	7
Il19	chr1	0	1	14
Il10	chr1	6	17	82
Mapkapk2	chr1	163	169	179
Dyrk3	chr1	165	178	178
Eif2d	chr1	159	160	169
Rassf5	chr1	139	150	171
Ikbke	chr1	56	70	124
Srgap2	chr1	181	193	193
Fam72a	chr1	157	193	193
Avpr1b	chr1	1	1	18
Ctse	chr1	98	104	141
Rab7b	chr1	22	22	110
Slc26a9	chr1	8	8	104
Pm20d1	chr1	15	19	25
Slc41a1	chr1	174	179	179
Rab29	chr1	155	159	159
Nucks1	chr1	176	178	178
Slc45a3	chr1	17	51	114
Elk4	chr1	156	173	175
Mfsd4	chr1	56	75	122
Cdk18	chr1	91	103	140
Lemd1	chr1	4	39	99
Mir135b	chr1	0	0	0
Klhdc8a	chr1	62	84	93
Nuak2	chr1	138	142	162
Tmcc2	chr1	110	130	151
Dstyk	chr1	182	184	184
Rbbp5	chr1	126	135	135
Tmem81	chr1	0	0	0
Cntn2	chr1	17	23	88
Nfasc	chr1	27	31	98
Gm10538	chr1	0	0	1
Lrrn2	chr1	21	50	72
Mdm4	chr1	155	161	162
Pik3c2b	chr1	123	144	158
Ppp1r15b	chr1	184	185	185
Plekha6	chr1	11	24	80
Gm19461	chr1	0	8	37
Golt1a	chr1	0	0	41
Kiss1	chr1	0	2	4
Ren2	chr1	0	0	49
Ren1	chr1	0	0	49
Etnk2	chr1	118	125	128
Sox13	chr1	37	46	131
Snrpe	chr1	181	183	183
Zbed6	chr1	50	155	155
Zc3h11a	chr1	151	155	155
Lax1	chr1	62	62	82
Mir6903	chr1	0	1	1
Atp2b4	chr1	1	29	74
Optc	chr1	1	40	78
Prelp	chr1	4	7	50
Fmod	chr1	0	0	65
Btg2	chr1	168	171	171
Chit1	chr1	67	74	104
Chil1	chr1	4	5	38
Mybph	chr1	0	1	83
Adora1	chr1	6	10	47
Myog	chr1	1	6	6
Ppfia4	chr1	62	82	110
Tmem183a	chr1	158	162	162
4933406M09Rik	chr1	0	0	0
Cyb5r1	chr1	153	157	161
Adipor1	chr1	177	180	180
Klhl12	chr1	151	154	155
Rabif	chr1	178	183	183
Mgat4e	chr1	0	2	3
Kdm5b	chr1	46	85	99
Syt2	chr1	21	28	161
Ppp1r12b	chr1	186	190	190
Ube2t	chr1	158	159	159
Lgr6	chr1	32	62	128
Ptprv	chr1	112	116	136
Ptpn7	chr1	114	116	125
Arl8a	chr1	132	148	157
Gpr37l1	chr1	13	16	20
Elf3	chr1	48	134	134
Rnpep	chr1	117	136	146
Timm17a	chr1	177	177	177
Lmod1	chr1	3	3	100
Shisa4	chr1	51	55	55
Ipo9	chr1	153	157	159
Mir1231	chr1	0	0	0
Nav1	chr1	45	51	154
Csrp1	chr1	159	159	171
Phlda3	chr1	121	138	138
Tnni1	chr1	7	8	84
Lad1	chr1	26	63	88
Tnnt2	chr1	0	6	81
Pkp1	chr1	21	23	69
Igfn1	chr1	0	1	29
Tmem9	chr1	169	171	172
Ascl5	chr1	9	74	74
Cacna1s	chr1	1	3	122
Gm15850	chr1	124	153	157
Kif21b	chr1	148	153	172
5730559C18Rik	chr1	94	107	110
Gpr25	chr1	16	68	68
Camsap2	chr1	172	178	179
Ddx59	chr1	183	187	187
9230116N13Rik	chr1	176	187	187
