chrom	merged_promoter.start	merged_promoter.end	name2	freq_name	freq_TSS
chr1	38683089	38685089	Aff3	1	1
chr1	38877060	38879060	Lonrf2	1	1
chr1	38954005	38956005	Chst10	1	1
chr1	38994993	38996993	Nms	2	1
chr1	39043658	39045658	Pdcl3	1	1
chr1	39242837	39244837	Mir6349	1	1
chr1	39250116	39252116	Npas2	1	1
chr1	39423695	39425695	Rpl31	3	1
chr1	39534592	39536592	Tbc1d8	1	1
chr1	39591646	39593646	Cnot11	1	1
chr1	39604685	39606685	Snord89	1	1
chr1	39633192	39635192	Rnf149	1	1
chr1	39707027	39709027	Creg2	1	1
chr1	39776834	39778834	Rfx8	1	1
chr1	39861177	39863177	Gm3646	1	1
chr1	39903175	39905175	1700066B17Rik	1	1
chr1	39956757	39958757	Map4k4	4	1
chr1	40140612	40142612	Il1r2	1	1
chr1	40141696	40143696	Gm16894	1	1
chr1	40280924	40282924	Il1r1	2	2
chr1	40322430	40324430	Il1r1	2	2
chr1	40380471	40382471	Il1rl2	1	1
chr1	40485414	40487414	Il1rl1	3	2
chr1	40495473	40497473	Il1rl1	3	2
chr1	40521396	40523850	Il18r1	3	3
chr1	40571206	40573206	Il18rap	1	1
chr1	40636071	40638071	Slc9a4	1	1
chr1	40737556	40739556	Slc9a2	1	1
chr1	40846502	40848502	Mfsd9	1	1
chr1	40861445	40863445	Tmem182	1	1
chr1	41237097	41239097	4930448I06Rik	1	1
chr1	42750670	42752670	Pantr1	1	1
chr1	42752990	42754990	Pou3f3	1	1
chr1	42756180	42758180	2900092D14Rik	1	1
chr1	42769299	42771299	Pantr2	1	1
chr1	42806556	42808556	Dalir	1	1
chr1	42907077	42909077	Mrps9	1	1
chr1	43008716	43010716	Gpr45	1	1
chr1	43154467	43156467	Tgfbrap1	1	1
chr1	43154554	43156554	AI597479	1	1
chr1	43219806	43221806	Fhl2	2	2
chr1	43252606	43254606	Fhl2	2	2
chr1	43501595	43503595	Nck2	1	1
chr1	43786446	43788446	1500015O10Rik	1	1
chr1	43883553	43885553	Uxs1	1	1
chr1	43989838	43991838	Tpp2	2	1
chr1	44075851	44077851	Mettl21c	1	1
chr1	44158233	44160233	Tex30	1	1
chr1	44174618	44176618	Kdelc1	1	1
chr1	44175812	44177812	Bivm	1	1
chr1	44203588	44205588	Ercc5	1	1
chr1	44274776	44276776	Mettl21e	1	1
chr1	44607515	44609515	Gulp1	1	1
chr1	44800794	44802794	4930521E06Rik	1	1
chr1	45367382	45369382	Col3a1	1	1
chr1	45559127	45561127	Col5a2	1	1
chr1	45851345	45853345	Wdr75	1	1
chr1	45981439	45983439	Slc40a1	1	1
chr1	46086282	46088282	Stk-ps2	2	1
chr1	46122582	46124582	Dnah7b	1	1
chr1	46481362	46483362	Dnah7c	1	1
chr1	46909354	46911354	Slc39a10	1	1
chr1	47522969	47524969	Mir6350	1	1
chr1	50983366	50985366	Tmeff2	1	1
chr1	51344969	51346969	Sdpr	1	1
chr1	51389623	51391623	9330175M20Rik	1	1
chr1	51534243	51536243	Nabp1	3	1
chr1	51971822	51973822	Myo1b	3	1
chr1	52042991	52044991	Stat4	2	2
chr1	52064083	52066083	Stat4	2	2
chr1	52175281	52177465	Stat1	3	2
chr1	52289076	52291076	Gls	2	1
chr1	52556292	52558292	Nab1	1	1
chr1	52686548	52688548	Tmem194b	2	1
chr1	52783162	52785162	Mfsd6	2	1
chr1	52873532	52875532	Inpp1	1	1
chr1	52900881	52902881	Hibch	1	1
chr1	53008684	53010684	1700019D03Rik	1	1
chr1	53117483	53119483	Mstn	1	1
chr1	53243461	53245461	1700019A02Rik	1	1
chr1	53352872	53354872	Pms1	1	1
chr1	53352938	53354938	Ormdl1	1	1
chr1	53369467	53371467	Osgepl1	3	1
chr1	53408596	53410596	Asnsd1	2	1
chr1	53762628	53764628	Dnah7a	1	1
chr1	53841059	53843059	Stk17b	1	1
chr1	53905267	53907267	Mir7681	1	1
chr1	54250878	54252878	Hecw2	2	1
chr1	54306526	54308526	Ccdc150	1	1
chr1	54494870	54496870	Gtf3c3	1	1
chr1	54613528	54615528	Pgap1	1	1
chr1	54982231	54984231	Ankrd44	1	1
chr1	55083322	55085322	Sf3b1	1	1
chr1	55108613	55110613	Coq10b	2	1
chr1	55143776	55145776	Hspd1	1	1
chr1	55143991	55145991	Hspe1	1	1
chr1	55187088	55189088	Mob4	2	1
chr1	55282626	55284626	Rftn2	1	1
chr1	55293020	55295020	Mars2	1	1
chr1	55418551	55421313	Boll	2	2
chr1	55461789	55463789	Plcl1	1	1
chr1	55987084	55989084	9130227L01Rik	1	1
chr1	56074821	56076821	1700003I22Rik	2	1
chr1	56693295	56695295	Hsfy2	1	1
chr1	57027178	57029178	Satb2	1	1
chr1	57027312	57029312	9130024F11Rik	2	1
chr1	57270840	57272840	BC055402	1	1
chr1	57433388	57435388	4930558J18Rik	1	1
chr1	57433463	57435463	1700066M21Rik	1	1
chr1	57462391	57464391	9430016H08Rik	1	1
chr1	57462518	57464518	Tyw5	4	1
chr1	57830704	57832704	Spats2l	2	2
chr1	57901414	57903414	Spats2l	2	2
chr1	58025368	58027928	Kctd18	3	2
chr1	58041183	58043183	Sgol2a	2	2
chr1	58051817	58053817	Sgol2a	2	2
chr1	58085812	58087812	Aox1	1	1
chr1	58168979	58170979	Aox3	1	1
chr1	58266240	58268240	Aox4	1	1
chr1	58334169	58336169	Aox2	1	1
chr1	58448979	58450979	Bzw1	1	1
chr1	58479932	58481932	Clk1	3	1
chr1	58501330	58503330	Ppil3	4	1
chr1	58503476	58505476	Nif3l1	1	1
chr1	58557270	58559270	Orc2	3	2
chr1	58560953	58562953	Orc2	3	2
chr1	58641998	58644177	Fam126b	3	2
chr1	58642240	58644240	Ndufb3	1	1
chr1	58708484	58710484	Gm20257	1	1
chr1	58751833	58753833	Als2cr12	1	1
chr1	58767334	58771129	Cflar	5	3
chr1	58786395	58788395	Cflar	5	3
chr1	58851217	58853217	Casp8	3	2
chr1	58858345	58860345	Casp8	3	2
chr1	59029326	59031326	Trak2	1	1
chr1	59029414	59031414	Stradb	1	1
chr1	59150744	59152744	Als2cr11	1	1
chr1	59175650	59177940	Tmem237	2	2
chr1	59217480	59221233	Mpp4	2	2
chr1	59292937	59295075	Als2	3	2
chr1	59312750	59314750	Cdk15	1	1
chr1	59537990	59539990	Fzd7	1	1
chr1	59572107	59574107	Gm973	1	1
chr1	59726678	59728678	Sumo1	1	1
chr1	59740849	59742849	Nop58	1	1
chr1	59747801	59749801	Snord70	1	1
chr1	59760651	59762651	Snord11	1	1
chr1	59820122	59822122	Bmpr2	1	1
chr1	59968849	59970849	Fam117b	1	1
chr1	60098966	60100966	Ica1l	3	1
chr1	60153751	60156344	Wdr12	3	3
chr1	60154090	60156090	Carf	4	2
chr1	60163926	60165926	Carf	4	2
chr1	60236442	60238442	Nbeal1	1	1
chr1	60399143	60401143	Cyp20a1	2	1
chr1	60465462	60467462	Abi2	3	1
chr1	60622609	60624609	Raph1	1	1
chr1	60802231	60804231	Cd28	1	1
chr1	60964868	60966868	Ctla4	2	1
chr1	61033757	61035757	Icos	1	1
chr1	61434275	61436275	9530026F06Rik	1	1
chr1	61684397	61686397	Pard3b	1	1
chr1	62748890	62750890	Nrp2	6	1
chr1	62840306	62842306	4930487H11Rik	1	1
chr1	63159841	63161841	Ino80d	2	1
chr1	63160044	63162313	Ino80dos	2	2
chr1	63222396	63224396	Ndufs1	4	1
chr1	63222404	63224404	Eef1b2	1	1
chr1	63224596	63226596	Snora41	1	1
chr1	63245931	63247931	Zdbf2	4	2
chr1	63318842	63320842	Zdbf2	4	2
chr1	63259855	63261855	Gpr1	1	1
chr1	63491464	63493464	Adam23	1	1
chr1	63732501	63734501	Dytn	1	1
chr1	63775892	63777892	Mdh1b	1	1
chr1	63776198	63778198	Fastkd2	1	1
chr1	63814841	63816841	4933402D24Rik	1	1
chr1	64010300	64012300	Gm13749	1	1
chr1	64088075	64090075	Mir6899	1	1
chr1	64166963	64168963	Klf7	1	1
chr1	64578377	64580377	Creb1	3	1
chr1	64662742	64664742	Mettl21a	1	1
chr1	64736233	64738233	2810408I11Rik	1	1
chr1	64736918	64738918	Ccnyl1	1	1
chr1	64783324	64785324	Fzd5	2	1
chr1	65002398	65004398	Plekhm3	1	1
chr1	65078333	65080333	Akr1cl	2	1
chr1	65096737	65098737	Cryge	1	1
chr1	65109014	65111014	Crygd	1	1
chr1	65119106	65121106	Crygc	2	1
chr1	65127864	65129864	Crygb	1	1
chr1	65148937	65150937	Cryga	1	1
chr1	65168788	65170788	D630023F18Rik	3	1
chr1	65224716	65226716	Idh1	2	2
chr1	65232053	65234053	Idh1	2	2
chr1	65232258	65234258	Pikfyve	2	1
chr1	65356830	65358830	Pth2r	1	1
chr1	65972095	65974095	Crygf	1	1
chr1	66220902	66222902	Map2	3	2
chr1	66367297	66369297	Map2	3	2
chr1	66514020	66516020	Unc80	1	1
chr1	66746404	66748404	Rpe	4	1
chr1	66863169	66865169	Kansl1l	2	1
chr1	66908883	66910883	Acadl	1	1
chr1	66980940	66982940	Myl1	2	2
chr1	66990630	66992630	Myl1	2	2
chr1	67084408	67086446	Lancl1	3	2
chr1	67168600	67170600	Cps1	1	1
chr1	69153633	69155633	Erbb4	1	1
chr1	69731534	69733534	Ikzf2	1	1
chr1	69872543	69874543	Spag16	3	2
chr1	69997188	69999188	Spag16	3	2
chr1	70771288	70773288	Vwc2l	2	1
chr1	71148546	71150546	Bard1	1	1
chr1	71460484	71462484	Abca12	1	1
chr1	71602729	71604729	Atic	1	1
chr1	71698808	71700808	Fn1	7	1
chr1	71698908	71700908	Apol7d	1	1
chr1	71933685	71935685	Gm8883	2	1
chr1	72050769	72052769	4933417E11Rik	1	1
chr1	72257881	72259881	Mreg	1	1
chr1	72329888	72331888	Pecr	1	1
chr1	72329946	72331946	Tmem169	1	1
chr1	72352994	72354994	Xrcc5	1	1
chr1	72582138	72584138	March4	1	1
chr1	72628824	72630824	Smarcal1	1	1
chr1	72746138	72748138	Ankar	1	1
chr1	72756833	72758833	Rpl37a	1	1
chr1	72870053	72872960	Igfbp2	2	2
chr1	72920439	72922439	Igfbp5	1	1
chr1	73061473	73063473	Tnp1	1	1
chr1	73061609	73063609	1700027A15Rik	2	2
chr1	73070159	73072159	1700027A15Rik	2	2
chr1	73444541	73446541	D530049I02Rik	1	1
chr1	73453143	73455143	Pinc	1	1
chr1	73901149	73903149	Mir6351	1	1
chr1	73910040	73912040	6030407O03Rik	1	1
chr1	74170021	74172023	Tns1	2	2
chr1	74171114	74173114	Rufy4	2	1
chr1	74199567	74201567	Cxcr2	1	1
chr1	74240205	74242205	Cxcr1	1	1
chr1	74252194	74254194	Mir1928	1	1
chr1	74282123	74284123	Arpc2	1	1
chr1	74324173	74326173	Gpbar1	1	1
chr1	74330312	74332312	Aamp	2	1
chr1	74330607	74332607	Pnkd	3	2
chr1	74378183	74380183	Pnkd	3	2
chr1	74349910	74351910	Tmbim1	1	1
chr1	74407681	74409681	Catip	1	1
chr1	74420776	74422776	Slc11a1	1	1
chr1	74437182	74439182	Ctdsp1	1	1
chr1	74439883	74441883	Mir26b	1	1
chr1	74454957	74456957	Vil1	1	1
chr1	74551395	74553395	Usp37	2	2
chr1	74589860	74591860	Usp37	2	2
chr1	74551633	74553633	Rqcd1	1	1
chr1	74588462	74591933	Plcd4	2	2
chr1	74633602	74635602	Zfp142	2	1
chr1	74633862	74635862	Bcs1l	2	1
chr1	74646971	74648971	Rnf25	2	1
chr1	74647028	74649028	Stk36	1	1
chr1	74707327	74709327	Ttll4	1	1
chr1	74759108	74761108	Cyp27a1	1	1
chr1	74794529	74796529	Prkag3	1	1
chr1	74817465	74819465	Wnt6	1	1
chr1	74837592	74839592	Wnt10a	1	1
chr1	74900602	74902602	Cdk5r2	1	1
chr1	74930982	74932982	Fev	1	1
chr1	74938717	74940717	Cryba2	1	1
chr1	74946295	74948295	Mir375	1	1
chr1	74981173	74983173	Ccdc108	1	1
chr1	74997246	74999246	Ihh	2	1
chr1	75120800	75122800	Nhej1	1	1
chr1	75129464	75131464	Slc23a3	1	1
chr1	75137942	75139942	Cnppd1	1	1
chr1	75138359	75140731	Fam134a	3	2
chr1	75164219	75166308	Zfand2b	3	2
chr1	75175966	75177966	Abcb6	1	1
chr1	75187584	75189584	Atg9a	4	1
chr1	75187733	75189733	Ankzf1	4	1
chr1	75206353	75208353	Glb1l	1	1
chr1	75206403	75208403	Stk16	3	1
chr1	75214869	75216869	Tuba4a	3	1
chr1	75219229	75221229	A630095N17Rik	2	2
chr1	75227668	75229668	A630095N17Rik	2	2
chr1	75231997	75234276	Dnajb2	5	2
chr1	75259783	75261783	Ptprn	1	1
chr1	75273955	75275955	Resp18	1	1
chr1	75312592	75315212	Dnpep	2	2
chr1	75355866	75357866	Des	1	1
chr1	75370590	75372590	Gm15179	1	1
chr1	75370871	75372871	Speg	4	4
chr1	75377688	75379688	Speg	4	4
chr1	75381184	75383184	Speg	4	4
chr1	75395659	75397659	Speg	4	4
chr1	75431517	75433517	Gmppa	1	1
chr1	75446084	75448084	Asic4	1	1
chr1	75475046	75477046	Chpf	2	1
chr1	75475106	75477106	Tmem198	1	1
chr1	75502027	75504027	Obsl1	2	1
chr1	75502651	75504651	Inha	1	1
chr1	75517103	75519103	Stk11ip	1	1
chr1	75541840	75543840	Slc4a3	1	1
chr1	76484707	76486707	Gm17751	2	1
chr1	76505134	76507134	Mir6343	1	1
chr1	77492343	77494343	Mir6352	1	1
chr1	77510663	77512663	Epha4	1	1
chr1	78192711	78194711	Pax3	2	1
chr1	78305920	78307920	Sgpp2	1	1
chr1	78484472	78486472	Farsb	4	1
chr1	78506634	78508634	Mogat1	1	1
chr1	78653399	78655399	Acsl3	3	1
chr1	78653399	78656014	Utp14b	2	2
chr1	78812523	78814523	Kcne4	1	1
chr1	79435665	79437665	Scg2	2	1
chr1	79667547	79669547	Ap1s3	1	1
chr1	79757344	79759344	Wdfy1	2	1
chr1	79771592	79773592	Mrpl44	1	1
chr1	79854240	79856240	Serpine2	1	1
chr1	80209519	80211519	Fam124b	1	1
chr1	80336265	80338265	Cul3	2	1
chr1	80441506	80443506	1700016L21Rik	1	1
chr1	80660927	80662927	Dock10	2	2
chr1	80754128	80756128	Dock10	2	2
chr1	81072891	81074891	Nyap2	1	1
chr1	82127490	82129490	Mir6344	1	1
chr1	82287014	82289014	Irs1	1	1
chr1	82312153	82314153	Rhbdd1	2	2
chr1	82334623	82336623	Rhbdd1	2	2
chr1	82582424	82584424	Col4a4	1	1
chr1	82582495	82584495	Col4a3	1	1
chr1	82720464	82722464	Mff	4	1
chr1	82764031	82766031	Tm4sf20	1	1
chr1	82835034	82837034	Agfg1	2	1
chr1	83034023	83036023	Slc19a3	1	1
chr1	83056504	83058504	Krtap28-13	1	1
chr1	83112340	83114340	Ccl20	2	1
chr1	83155336	83157336	Daw1	2	1
chr1	83403775	83405775	Sphkap	1	1
chr1	84214536	84216536	Mir6353	1	1
chr1	84280220	84282220	Pid1	1	1
chr1	84691413	84693413	Mir5126	1	1
chr1	84691796	84693796	Dner	1	1
chr1	84834879	84836879	Trip12	1	1
chr1	84835415	84837415	Fbxo36	1	1
chr1	84930658	84932658	Slc16a14	1	1
chr1	85105428	85107428	A530032D15Rik	1	1
chr1	85195185	85197185	Gm7609	1	1
chr1	85266141	85268141	C130026I21Rik	2	1
chr1	87494385	87496385	Sp110	2	2
chr1	87499466	87501466	Sp110	2	2
chr1	87496277	87498277	Sp140	1	1
chr1	87545562	87547562	Sp100	4	1
chr1	87632181	87634181	A630001G21Rik	1	1
chr1	87647522	87649522	Mir8096	1	1
chr1	87670845	87672845	9930111H07Rik	1	1
chr1	87689021	87691021	Cab39	1	1
chr1	87790084	87792084	Itm2c	1	1
chr1	87824057	87826057	4933407L21Rik	1	1
chr1	87856630	87858630	Gpr55	1	1
chr1	87917516	87919516	Spata3	4	1
chr1	87941437	87943437	2810459M11Rik	2	1
chr1	87960193	87962193	Psmd1	1	1
chr1	88007545	88009545	Htr2b	1	1
chr1	88050354	88052354	Armc9	3	1
chr1	88198795	88200795	B3gnt7	1	1
chr1	88246860	88248860	Snora75	1	1
chr1	88247702	88249702	Gm24148	1	1
chr1	88251902	88253902	Snord82	1	1
chr1	88255030	88257030	Ncl	1	1
chr1	88255148	88257148	C130036L24Rik	1	1
chr1	88283716	88285716	Nmur1	1	1
chr1	88321903	88323903	1700019O17Rik	1	1
chr1	88422310	88424310	Ptma	1	1
chr1	88478076	88480076	Pde6d	1	1
chr1	88482674	88484674	Cops7b	1	1
chr1	88566148	88568148	Nppc	1	1
chr1	88599378	88601378	Dis3l2	2	1
chr1	88985503	88987503	Alppl2	1	1
chr1	88997181	88999181	Alpi	1	1
chr1	89020582	89022582	Akp3	1	1
chr1	89051711	89053931	Ecel1	2	2
chr1	89078888	89080888	Prss56	1	1
chr1	89086171	89088171	Chrnd	1	1
chr1	89101385	89103385	Chrng	1	1
chr1	89109488	89111513	Eif4e2	3	2
chr1	89159938	89161938	Efhd1	1	1
chr1	89222572	89224572	Gigyf2	2	1
chr1	89290304	89292304	Kcnj13	1	1
chr1	89365838	89367838	3110079O15Rik	1	1
chr1	89405937	89407937	Ngef	2	2
chr1	89469445	89471445	Ngef	2	2
chr1	89469601	89471601	Neu2	4	3
chr1	89479596	89481596	Neu2	4	3
chr1	89490124	89492124	Neu2	4	3
chr1	89515886	89517886	Inpp5d	4	1
chr1	89651585	89653585	Atg16l1	3	1
chr1	89680145	89682145	Scarna6	1	1
chr1	89699254	89701254	Sag	1	1
chr1	89748861	89750861	Dgkd	1	1
chr1	89904126	89906126	Usp40	2	1
chr1	89950985	89952985	Ugt1a10	1	1
chr1	89966353	89968353	Ugt1a9	1	1
chr1	89990575	89992575	Ugt1a7c	1	1
chr1	89998831	90000831	Ugt1a6b	1	1
chr1	90030383	90032383	Ugt1a6a	1	1
chr1	90061586	90063586	Ugt1a5	1	1
chr1	90096185	90098185	Ugt1a2	1	1
chr1	90101323	90103323	Dnajb3	1	1
chr1	90107533	90109533	Ugt1a1	1	1
chr1	90122594	90124594	Mroh2a	1	1
chr1	90164983	90166983	6430706D22Rik	1	1
chr1	90173132	90175132	A730008H23Rik	1	1
chr1	90173154	90175154	Hjurp	1	1
chr1	90202286	90204286	Trpm8	1	1
chr1	90302584	90304584	Spp2	1	1
chr1	90405641	90407641	Glrp1	1	1
chr1	90447091	90449091	Gm19589	1	1
chr1	90597766	90599766	Arl4c	1	1
chr1	90650464	90652464	Platr5	1	1
chr1	90911687	90913687	1700067G17Rik	1	1
chr1	90966036	90968036	Sh3bp4	1	1
chr1	91301708	91303708	C030007H22Rik	1	1
chr1	91350385	91352385	Agap1	2	1
chr1	91579467	91581467	4933400F21Rik	1	1
chr1	91826751	91828751	Gbx2	1	1
chr1	91910152	91912152	Asb18	1	1
chr1	92048976	92050976	Iqca	1	1
chr1	92099554	92101554	Ackr3	2	1
chr1	92498999	92500999	Cops8	1	1
chr1	92739548	92741548	Col6a3	2	1
chr1	92810676	92812676	Mlph	1	1
chr1	92848684	92850684	Prlh	1	1
chr1	92863244	92867197	Rab17	2	2
